layer,head,mean_delta_h1,std_delta_h1,n_prompts,role,stability
0,0,0.0005671873688697815,0.025526896255667165,40,neutral,0.875
0,1,0.008801693910591653,0.027804167166759267,40,neutral,0.875
0,2,0.03455739080905914,0.04684949872091111,40,neutral,0.6
0,3,-0.0640703744299355,0.01788437355402518,40,bridge,0.95
0,4,-0.004909151792526245,0.017627616382134163,40,neutral,0.925
0,5,-0.022586446007092795,0.034168139131231984,40,neutral,0.675
0,6,-0.009680099040269851,0.033236237530390185,40,neutral,0.7
0,7,-0.001920618365208308,0.021750256484140633,40,neutral,0.9
0,8,-0.0014000594615936278,0.007933592131207756,40,neutral,0.975
0,9,-0.00041319628556569404,0.0017846919260978437,40,neutral,1.0
0,10,-0.012814082702000937,0.02897398687240713,40,neutral,0.825
0,11,-0.020175617188215256,0.03717794146476318,40,neutral,0.575
0,12,-0.022354499995708467,0.029703520992969554,40,neutral,0.625
0,13,0.012143652886152267,0.03952005468268292,40,neutral,0.675
0,14,-0.0024527387545695374,0.00948079664667074,40,neutral,0.975
0,15,-0.0012943238019943238,0.008186022488141702,40,neutral,0.975
1,0,-0.03872204162180424,0.03276363759851119,40,bridge,0.6
1,1,-0.04718086856106917,0.0332310826391852,40,bridge,0.7
1,2,-0.05581674585739771,0.03350290311066992,40,bridge,0.775
1,3,-0.04042731693635384,0.03822457879097992,40,bridge,0.575
1,4,0.0,0.0,40,neutral,1.0
1,5,-0.056424519419670104,0.04485784374231507,40,bridge,0.825
1,6,-0.057185682594066575,0.034798023040091074,40,bridge,0.75
1,7,-0.03690173926452796,0.07354739348149933,40,bridge,0.6
1,8,-0.05018651083111762,0.028974951068576598,40,bridge,0.775
1,9,-0.04688215464353561,0.04139226788367696,40,bridge,0.675
1,10,-0.005456267297267914,0.01659983141135529,40,neutral,0.9
1,11,-0.0015423059463500976,0.014943200473820948,40,neutral,0.925
1,12,-0.08895203116394225,0.02245687445729319,40,bridge,1.0
1,13,-0.0641210550779388,0.02934557170610917,40,bridge,0.85
1,14,-0.04165931703079314,0.05701346954197716,40,bridge,0.675
1,15,0.0,0.0,40,neutral,1.0
2,0,-0.07109428723411255,0.042018073145988266,40,bridge,0.875
2,1,-0.06425700520120917,0.046333827969282836,40,bridge,0.825
2,2,-0.06660215494947301,0.041804726912685594,40,bridge,0.875
2,3,-0.0011174120008945465,0.026139037743433166,40,neutral,0.875
2,4,-0.029320498323511513,0.04618468655203954,40,bridge,0.5
2,5,0.0018731849853481568,0.05178712301727864,40,neutral,0.55
2,6,-0.03320126481354237,0.06818566132120994,40,bridge,0.525
2,7,-0.003056691586971283,0.025761238456208337,40,neutral,0.875
2,8,-0.014179179072380066,0.03175698777985137,40,neutral,0.75
2,9,-0.02352741209878808,0.04988207121584949,40,bridge,0.475
2,10,0.0011457577347755432,0.02051149749899286,40,neutral,0.95
2,11,-0.04779500514268875,0.04975205167515434,40,bridge,0.75
2,12,-0.0258492840329806,0.060456958268143984,40,bridge,0.45
2,13,-0.02623944754401843,0.05280164454138669,40,bridge,0.525
2,14,-0.05103418665627638,0.03724743999516231,40,bridge,0.75
2,15,0.0017629772424697875,0.021688648316366795,40,neutral,0.925
3,0,-0.05291985490669807,0.03923093267624259,40,bridge,0.7
3,1,-0.03333752950032552,0.0483058471203408,40,bridge,0.55
3,2,-0.0013275563716888428,0.008396203713611635,40,neutral,0.975
3,3,-0.005708969881137212,0.03026873965503255,40,neutral,0.75
3,4,-0.015352590133746466,0.030775891971816162,40,neutral,0.7
3,5,0.0013075100512258582,0.023490277032117663,40,neutral,0.925
3,6,-0.023648551354805626,0.029493116347632745,40,neutral,0.6
3,7,-0.048374610940615334,0.03456841233691888,40,bridge,0.7
3,8,0.0,0.0,40,neutral,1.0
3,9,-0.030813439935445785,0.04510748772572495,40,bridge,0.55
3,10,0.011635339260101319,0.034680158741466786,40,neutral,0.75
3,11,0.007649292747179667,0.05570213868678252,40,neutral,0.5
3,12,0.0012390315532684326,0.008158780587391825,40,neutral,0.975
3,13,-0.028296286339561143,0.04139132854318057,40,bridge,0.5
3,14,0.044470924387375516,0.057664162255221266,40,cone,0.55
3,15,-0.037939306149880093,0.051670140164509666,40,bridge,0.575
4,0,-0.01512974550326665,0.05946174019352047,40,bridge,0.425
4,1,0.0,0.0,40,neutral,1.0
