prompt_id,category,layer,head,delta_h1,role
rep_001,repetition,0,0,0.0,neutral
rep_001,repetition,0,1,-0.0916285514831543,bridge
rep_001,repetition,0,2,0.0,neutral
rep_001,repetition,0,3,0.0,neutral
rep_001,repetition,0,4,0.0,neutral
rep_001,repetition,0,5,-0.05637919902801514,bridge
rep_001,repetition,0,6,-0.07019319136937459,bridge
rep_001,repetition,0,7,-0.05113929510116577,bridge
rep_001,repetition,0,8,0.0,neutral
rep_001,repetition,0,9,0.0,neutral
rep_001,repetition,0,10,-0.06805109977722168,bridge
rep_001,repetition,0,11,0.0,neutral
rep_001,repetition,0,12,-0.05491783221562704,bridge
rep_001,repetition,0,13,-0.054010868072509766,bridge
rep_001,repetition,0,14,-0.06627504527568817,bridge
rep_001,repetition,0,15,0.0,neutral
rep_001,repetition,0,16,0.0,neutral
rep_001,repetition,0,17,0.0,neutral
rep_001,repetition,0,18,-0.06679964065551758,bridge
rep_001,repetition,0,19,0.0,neutral
rep_001,repetition,0,20,0.0,neutral
rep_001,repetition,0,21,0.0,neutral
rep_001,repetition,0,22,0.0,neutral
rep_001,repetition,0,23,0.0,neutral
rep_001,repetition,0,24,-0.0810544490814209,bridge
rep_001,repetition,0,25,0.0,neutral
rep_001,repetition,0,26,0.0,neutral
rep_001,repetition,0,27,0.0,neutral
rep_001,repetition,0,28,0.0,neutral
rep_001,repetition,0,29,-0.05209451913833618,bridge
rep_001,repetition,0,30,-0.05483010411262512,bridge
rep_001,repetition,0,31,-0.08891969919204712,bridge
rep_001,repetition,1,0,0.0,neutral
rep_001,repetition,1,1,0.0,neutral
rep_001,repetition,1,2,0.0,neutral
rep_001,repetition,1,3,0.0,neutral
rep_001,repetition,1,4,0.0,neutral
rep_001,repetition,1,5,0.0,neutral
rep_001,repetition,1,6,-0.05107492208480835,bridge
rep_001,repetition,1,7,0.0,neutral
rep_001,repetition,1,8,0.0,neutral
rep_001,repetition,1,9,0.0,neutral
rep_001,repetition,1,10,0.0,neutral
rep_001,repetition,1,11,0.0,neutral
rep_001,repetition,1,12,0.0,neutral
rep_001,repetition,1,13,0.0,neutral
rep_001,repetition,1,14,0.0,neutral
rep_001,repetition,1,15,-0.06866788864135742,bridge
rep_001,repetition,1,16,0.0,neutral
rep_001,repetition,1,17,0.0,neutral
rep_001,repetition,1,18,0.0,neutral
rep_001,repetition,1,19,0.0,neutral
rep_001,repetition,1,20,0.0,neutral
rep_001,repetition,1,21,-0.07013699412345886,bridge
rep_001,repetition,1,22,0.0,neutral
rep_001,repetition,1,23,0.0,neutral
rep_001,repetition,1,24,-0.07696610689163208,bridge
rep_001,repetition,1,25,0.0,neutral
rep_001,repetition,1,26,0.0,neutral
rep_001,repetition,1,27,0.0,neutral
rep_001,repetition,1,28,0.0,neutral
rep_001,repetition,1,29,0.0,neutral
rep_001,repetition,1,30,0.0,neutral
rep_001,repetition,1,31,0.0,neutral
rep_001,repetition,2,0,-0.07376658916473389,bridge
rep_001,repetition,2,1,0.0,neutral
rep_001,repetition,2,2,0.0,neutral
rep_001,repetition,2,3,0.0,neutral
rep_001,repetition,2,4,0.0,neutral
rep_001,repetition,2,5,0.0,neutral
rep_001,repetition,2,6,0.0,neutral
rep_001,repetition,2,7,0.0,neutral
rep_001,repetition,2,8,-0.06713801622390747,bridge
rep_001,repetition,2,9,0.0,neutral
rep_001,repetition,2,10,0.0,neutral
rep_001,repetition,2,11,0.0,neutral
rep_001,repetition,2,12,0.0,neutral
rep_001,repetition,2,13,-0.08742886781692505,bridge
rep_001,repetition,2,14,-0.07678398489952087,bridge
rep_001,repetition,2,15,-0.05753833055496216,bridge
rep_001,repetition,2,16,0.0,neutral
rep_001,repetition,2,17,0.0,neutral
rep_001,repetition,2,18,-0.0555950403213501,bridge
rep_001,repetition,2,19,0.0,neutral
rep_001,repetition,2,20,-0.10648989677429199,bridge
rep_001,repetition,2,21,0.0,neutral
rep_001,repetition,2,22,0.0,neutral
rep_001,repetition,2,23,0.0,neutral
rep_001,repetition,2,24,0.0,neutral
rep_001,repetition,2,25,-0.12964195013046265,bridge
rep_001,repetition,2,26,-0.06735602021217346,bridge
rep_001,repetition,2,27,-0.07394597530364991,bridge
rep_001,repetition,2,28,0.0,neutral
rep_001,repetition,2,29,-0.059063732624053955,bridge
rep_001,repetition,2,30,0.0,neutral
rep_001,repetition,2,31,0.0,neutral
rep_001,repetition,3,0,0.0,neutral
rep_001,repetition,3,1,0.0,neutral
rep_001,repetition,3,2,0.0,neutral
rep_001,repetition,3,3,0.0,neutral
rep_001,repetition,3,4,-0.05506497621536255,bridge
rep_001,repetition,3,5,0.0,neutral
rep_001,repetition,3,6,0.0,neutral
rep_001,repetition,3,7,-0.059807538986206055,bridge
rep_001,repetition,3,8,0.0,neutral
rep_001,repetition,3,9,0.0,neutral
rep_001,repetition,3,10,-0.05526795983314514,bridge
rep_001,repetition,3,11,0.0,neutral
rep_001,repetition,3,12,0.0,neutral
rep_001,repetition,3,13,0.0,neutral
rep_001,repetition,3,14,0.0,neutral
rep_001,repetition,3,15,-0.0548405647277832,bridge
rep_001,repetition,3,16,0.0,neutral
rep_001,repetition,3,17,0.0,neutral
rep_001,repetition,3,18,0.0,neutral
rep_001,repetition,3,19,0.0,neutral
rep_001,repetition,3,20,0.0,neutral
rep_001,repetition,3,21,0.0,neutral
rep_001,repetition,3,22,0.0,neutral
rep_001,repetition,3,23,0.0,neutral
rep_001,repetition,3,24,0.0,neutral
rep_001,repetition,3,25,0.0,neutral
rep_001,repetition,3,26,0.0,neutral
rep_001,repetition,3,27,0.0,neutral
rep_001,repetition,3,28,0.0,neutral
rep_001,repetition,3,29,0.0,neutral
rep_001,repetition,3,30,0.0,neutral
rep_001,repetition,3,31,0.0,neutral
rep_001,repetition,4,0,0.0,neutral
rep_001,repetition,4,1,0.0,neutral
rep_001,repetition,4,2,0.0,neutral
rep_001,repetition,4,3,0.0,neutral
rep_001,repetition,4,4,0.0,neutral
rep_001,repetition,4,5,0.0,neutral
rep_001,repetition,4,6,0.0,neutral
rep_001,repetition,4,7,0.0,neutral
rep_001,repetition,4,8,0.0,neutral
rep_001,repetition,4,9,0.0,neutral
rep_001,repetition,4,10,0.0,neutral
rep_001,repetition,4,11,0.0,neutral
rep_001,repetition,4,12,0.0,neutral
rep_001,repetition,4,13,0.0,neutral
rep_001,repetition,4,14,-0.07056039571762085,bridge
rep_001,repetition,4,15,0.0,neutral
rep_001,repetition,4,16,0.0,neutral
rep_001,repetition,4,17,0.0,neutral
rep_001,repetition,4,18,0.0,neutral
rep_001,repetition,4,19,-0.057380735874176025,bridge
rep_001,repetition,4,20,0.0,neutral
rep_001,repetition,4,21,0.0,neutral
rep_001,repetition,4,22,0.0,neutral
rep_001,repetition,4,23,0.0,neutral
rep_001,repetition,4,24,0.0,neutral
rep_001,repetition,4,25,0.0,neutral
rep_001,repetition,4,26,0.0,neutral
rep_001,repetition,4,27,0.0,neutral
rep_001,repetition,4,28,0.0,neutral
rep_001,repetition,4,29,0.0,neutral
rep_001,repetition,4,30,-0.0641169548034668,bridge
rep_001,repetition,4,31,0.0,neutral
rep_001,repetition,5,0,-0.11902004480361938,bridge
rep_001,repetition,5,1,0.0,neutral
rep_001,repetition,5,2,-0.06055048108100891,bridge
rep_001,repetition,5,3,-0.06233799457550049,bridge
rep_001,repetition,5,4,-0.08368533849716187,bridge
rep_001,repetition,5,5,-0.07073979079723358,bridge
rep_001,repetition,5,6,-0.07203509410222371,bridge
rep_001,repetition,5,7,0.0,neutral
rep_001,repetition,5,8,-0.0610041618347168,bridge
rep_001,repetition,5,9,-0.050273597240448,bridge
rep_001,repetition,5,10,-0.06014460325241089,bridge
rep_001,repetition,5,11,-0.16453677415847778,bridge
rep_001,repetition,5,12,-0.07103615999221802,bridge
rep_001,repetition,5,13,0.0,neutral
rep_001,repetition,5,14,0.0,neutral
rep_001,repetition,5,15,-0.0546644926071167,bridge
rep_001,repetition,5,16,0.0,neutral
rep_001,repetition,5,17,0.0,neutral
rep_001,repetition,5,18,0.0,neutral
rep_001,repetition,5,19,0.0,neutral
rep_001,repetition,5,20,0.0,neutral
rep_001,repetition,5,21,0.0,neutral
rep_001,repetition,5,22,-0.05815437436103821,bridge
rep_001,repetition,5,23,0.0,neutral
rep_001,repetition,5,24,0.0,neutral
rep_001,repetition,5,25,0.0,neutral
rep_001,repetition,5,26,0.0,neutral
rep_001,repetition,5,27,0.0,neutral
rep_001,repetition,5,28,-0.05546289682388306,bridge
rep_001,repetition,5,29,0.0,neutral
rep_001,repetition,5,30,0.0,neutral
rep_001,repetition,5,31,0.0,neutral
rep_001,repetition,6,0,-0.06795156002044678,bridge
rep_001,repetition,6,1,-0.06634378433227539,bridge
rep_001,repetition,6,2,0.0,neutral
rep_001,repetition,6,3,0.0,neutral
rep_001,repetition,6,4,0.0,neutral
rep_001,repetition,6,5,0.0,neutral
rep_001,repetition,6,6,0.0,neutral
rep_001,repetition,6,7,0.0,neutral
rep_001,repetition,6,8,0.0,neutral
rep_001,repetition,6,9,-0.08947041134039561,bridge
rep_001,repetition,6,10,0.0,neutral
rep_001,repetition,6,11,0.0,neutral
rep_001,repetition,6,12,0.0,neutral
rep_001,repetition,6,13,0.0,neutral
rep_001,repetition,6,14,0.0,neutral
rep_001,repetition,6,15,0.0,neutral
rep_001,repetition,6,16,0.0,neutral
rep_001,repetition,6,17,0.0,neutral
rep_001,repetition,6,18,0.0,neutral
rep_001,repetition,6,19,-0.06486064195632935,bridge
rep_001,repetition,6,20,0.0,neutral
rep_001,repetition,6,21,0.0,neutral
rep_001,repetition,6,22,0.0,neutral
rep_001,repetition,6,23,0.0,neutral
rep_001,repetition,6,24,0.0,neutral
rep_001,repetition,6,25,0.0,neutral
rep_001,repetition,6,26,0.0,neutral
rep_001,repetition,6,27,0.0,neutral
rep_001,repetition,6,28,-0.060714284578959145,bridge
rep_001,repetition,6,29,-0.07130300998687744,bridge
rep_001,repetition,6,30,0.0,neutral
rep_001,repetition,6,31,0.015712887048721313,neutral
rep_001,repetition,7,0,0.0,neutral
rep_001,repetition,7,1,0.0,neutral
rep_001,repetition,7,2,0.0,neutral
rep_001,repetition,7,3,-0.07362067699432373,bridge
rep_001,repetition,7,4,0.0,neutral
rep_001,repetition,7,5,0.0,neutral
rep_001,repetition,7,6,-0.0786590576171875,bridge
rep_001,repetition,7,7,0.0,neutral
rep_001,repetition,7,8,0.0,neutral
rep_001,repetition,7,9,0.0,neutral
rep_001,repetition,7,10,-0.05202990770339966,bridge
rep_001,repetition,7,11,0.0,neutral
rep_001,repetition,7,12,0.0,neutral
rep_001,repetition,7,13,0.0,neutral
rep_001,repetition,7,14,0.0,neutral
rep_001,repetition,7,15,0.0,neutral
rep_001,repetition,7,16,-0.05676323175430298,bridge
rep_001,repetition,7,17,0.0,neutral
rep_001,repetition,7,18,0.0,neutral
rep_001,repetition,7,19,-0.06493580341339111,bridge
rep_001,repetition,7,20,0.0,neutral
rep_001,repetition,7,21,0.0,neutral
rep_001,repetition,7,22,-0.08660432696342468,bridge
rep_001,repetition,7,23,-0.05951744318008423,bridge
rep_001,repetition,7,24,-0.05473107099533081,bridge
rep_001,repetition,7,25,-0.05894583463668823,bridge
rep_001,repetition,7,26,-0.06445783376693726,bridge
rep_001,repetition,7,27,0.005878160397211715,neutral
rep_001,repetition,7,28,0.052734375,cone
rep_001,repetition,7,29,0.0,neutral
rep_001,repetition,7,30,0.0,neutral
rep_001,repetition,7,31,0.0,neutral
rep_001,repetition,8,0,-0.08206456899642944,bridge
rep_001,repetition,8,1,-0.06274133920669556,bridge
rep_001,repetition,8,2,-0.062051236629486084,bridge
rep_001,repetition,8,3,-0.016226887702941895,neutral
rep_001,repetition,8,4,0.0,neutral
rep_001,repetition,8,5,0.0,neutral
rep_001,repetition,8,6,0.0,neutral
rep_001,repetition,8,7,0.0,neutral
rep_001,repetition,8,8,-0.07802851994832356,bridge
rep_001,repetition,8,9,-0.062217652797698975,bridge
rep_001,repetition,8,10,0.0,neutral
rep_001,repetition,8,11,0.0,neutral
rep_001,repetition,8,12,-0.07856470346450806,bridge
rep_001,repetition,8,13,0.0,neutral
rep_001,repetition,8,14,-0.07036846876144409,bridge
rep_001,repetition,8,15,0.0,neutral
rep_001,repetition,8,16,0.0,neutral
rep_001,repetition,8,17,0.0,neutral
rep_001,repetition,8,18,0.0,neutral
rep_001,repetition,8,19,0.0,neutral
rep_001,repetition,8,20,-0.053502023220062256,bridge
rep_001,repetition,8,21,0.0,neutral
rep_001,repetition,8,22,-0.05449223518371582,bridge
rep_001,repetition,8,23,0.0,neutral
rep_001,repetition,8,24,0.0,neutral
rep_001,repetition,8,25,0.0,neutral
rep_001,repetition,8,26,0.0,neutral
rep_001,repetition,8,27,0.0,neutral
rep_001,repetition,8,28,0.0,neutral
rep_001,repetition,8,29,-0.07302910089492798,bridge
rep_001,repetition,8,30,0.0,neutral
rep_001,repetition,8,31,-0.06693512201309204,bridge
rep_001,repetition,9,0,0.0,neutral
rep_001,repetition,9,1,-0.055520832538604736,bridge
rep_001,repetition,9,2,-0.07933318614959717,bridge
rep_001,repetition,9,3,0.0,neutral
rep_001,repetition,9,4,0.0,neutral
rep_001,repetition,9,5,0.0,neutral
rep_001,repetition,9,6,0.0,neutral
rep_001,repetition,9,7,0.0,neutral
rep_001,repetition,9,8,-0.06000471115112305,bridge
rep_001,repetition,9,9,-0.08552676439285278,bridge
rep_001,repetition,9,10,-0.06405001878738403,bridge
rep_001,repetition,9,11,0.0,neutral
rep_001,repetition,9,12,0.0,neutral
rep_001,repetition,9,13,-0.0843503475189209,bridge
rep_001,repetition,9,14,0.0,neutral
rep_001,repetition,9,15,0.0,neutral
rep_001,repetition,9,16,-0.06075131893157959,bridge
rep_001,repetition,9,17,-0.07526051998138428,bridge
rep_001,repetition,9,18,-0.07160723209381104,bridge
rep_001,repetition,9,19,-0.0605158805847168,bridge
rep_001,repetition,9,20,0.0,neutral
rep_001,repetition,9,21,0.0,neutral
rep_001,repetition,9,22,0.0,neutral
rep_001,repetition,9,23,0.0,neutral
rep_001,repetition,9,24,0.0,neutral
rep_001,repetition,9,25,0.0,neutral
rep_001,repetition,9,26,0.0,neutral
rep_001,repetition,9,27,-0.08875304460525513,bridge
rep_001,repetition,9,28,0.0,neutral
rep_001,repetition,9,29,0.0,neutral
rep_001,repetition,9,30,0.0,neutral
rep_001,repetition,9,31,0.0,neutral
rep_001,repetition,10,0,0.0,neutral
rep_001,repetition,10,1,-0.08339221278826396,bridge
rep_001,repetition,10,2,0.0,neutral
rep_001,repetition,10,3,-0.06468720436096191,bridge
rep_001,repetition,10,4,0.0,neutral
rep_001,repetition,10,5,0.0,neutral
rep_001,repetition,10,6,0.0,neutral
rep_001,repetition,10,7,0.0,neutral
rep_001,repetition,10,8,0.0,neutral
rep_001,repetition,10,9,0.0,neutral
rep_001,repetition,10,10,0.0,neutral
rep_001,repetition,10,11,0.0,neutral
rep_001,repetition,10,12,-0.07421106100082397,bridge
rep_001,repetition,10,13,0.005171632482892,neutral
rep_001,repetition,10,14,0.06298126777013142,cone
rep_001,repetition,10,15,-0.07380276918411255,bridge
rep_001,repetition,10,16,0.0,neutral
rep_001,repetition,10,17,0.0,neutral
rep_001,repetition,10,18,-0.06660968065261841,bridge
rep_001,repetition,10,19,0.06640625,cone
rep_001,repetition,10,20,-0.0512431263923645,bridge
rep_001,repetition,10,21,-0.09068697690963745,bridge
rep_001,repetition,10,22,0.0,neutral
rep_001,repetition,10,23,0.0,neutral
rep_001,repetition,10,24,0.0,neutral
rep_001,repetition,10,25,-0.06121593713760376,bridge
rep_001,repetition,10,26,0.0,neutral
rep_001,repetition,10,27,0.0,neutral
rep_001,repetition,10,28,-0.06884199380874634,bridge
rep_001,repetition,10,29,-0.09509746233622234,bridge
rep_001,repetition,10,30,-0.05287790298461914,bridge
rep_001,repetition,10,31,-0.06963789463043213,bridge
rep_001,repetition,11,0,-0.059076786041259766,bridge
rep_001,repetition,11,1,0.0,neutral
rep_001,repetition,11,2,-0.07263725996017456,bridge
rep_001,repetition,11,3,0.0,neutral
rep_001,repetition,11,4,0.0,neutral
rep_001,repetition,11,5,-0.06257659196853638,bridge
rep_001,repetition,11,6,-0.06210106611251831,bridge
rep_001,repetition,11,7,-0.06823486089706421,bridge
rep_001,repetition,11,8,-0.068902388215065,bridge
rep_001,repetition,11,9,-0.0633307695388794,bridge
rep_001,repetition,11,10,0.0,neutral
rep_001,repetition,11,11,-0.06656719744205475,bridge
rep_001,repetition,11,12,-0.06798011064529419,bridge
rep_001,repetition,11,13,0.0,neutral
rep_001,repetition,11,14,-0.0759722888469696,bridge
rep_001,repetition,11,15,0.0,neutral
rep_001,repetition,11,16,0.0,neutral
rep_001,repetition,11,17,0.0,neutral
rep_001,repetition,11,18,0.0,neutral
rep_001,repetition,11,19,-0.06246483325958252,bridge
rep_001,repetition,11,20,0.0,neutral
rep_001,repetition,11,21,0.0,neutral
rep_001,repetition,11,22,0.0,neutral
rep_001,repetition,11,23,-0.05337691307067871,bridge
rep_001,repetition,11,24,-0.06609433889389038,bridge
rep_001,repetition,11,25,-0.05125629901885986,bridge
rep_001,repetition,11,26,0.0,neutral
rep_001,repetition,11,27,-0.05540141463279724,bridge
rep_001,repetition,11,28,0.0,neutral
rep_001,repetition,11,29,0.0,neutral
rep_001,repetition,11,30,-0.11152198910713196,bridge
rep_001,repetition,11,31,0.0,neutral
rep_001,repetition,12,0,0.0,neutral
rep_001,repetition,12,1,0.0,neutral
rep_001,repetition,12,2,0.0,neutral
