layer,head,mean_delta_h1,std_delta_h1,n_prompts,role,stability
0,0,-0.004066703054640028,0.015574766731759657,60,neutral,0.9333333333333333
0,1,-0.004784238835175832,0.01618133092906097,60,neutral,0.9166666666666666
0,2,-0.015528484502663979,0.04127742141631918,60,neutral,0.6
0,3,-0.042289558202028274,0.03445960150740878,60,bridge,0.7
0,4,0.0,0.0,60,neutral,1.0
0,5,-6.361901760101318e-05,0.009940053420736247,60,neutral,0.9666666666666667
0,6,0.0,0.0,60,neutral,1.0
0,7,0.0,0.0,60,neutral,1.0
0,8,0.0,0.0,60,neutral,1.0
0,9,0.0,0.0,60,neutral,1.0
0,10,0.07797291589161706,0.01470446103642333,60,cone,1.0
0,11,0.027400605811013116,0.038251379528649584,60,neutral,0.5333333333333333
0,12,0.0,0.0,60,neutral,1.0
0,13,-0.01363752285639445,0.02660964101570556,60,neutral,0.7833333333333333
0,14,0.008480271223991637,0.02204507120902476,60,neutral,0.8666666666666667
0,15,0.0014251708984375,0.0110393263102958,60,neutral,0.9833333333333333
0,16,0.004142252604166666,0.015658453780704087,60,neutral,0.9333333333333333
0,17,0.0,0.0,60,neutral,1.0
0,18,0.004319254557291667,0.01644057364450219,60,neutral,0.9333333333333333
0,19,0.0,0.0,60,neutral,1.0
0,20,-0.008207430359390045,0.02772036389490453,60,neutral,0.9166666666666666
0,21,-0.011534041166305542,0.023380155016158637,60,neutral,0.8
0,22,0.0,0.0,60,neutral,1.0
0,23,-0.009367483026451535,0.02656544779089971,60,neutral,0.8833333333333333
0,24,-0.007655737300713857,0.021584144120751377,60,neutral,0.8833333333333333
0,25,0.0,0.0,60,neutral,1.0
0,26,-0.001092262069384257,0.018767169306256156,60,neutral,0.8833333333333333
0,27,-0.0032403697570164997,0.014252760021297274,60,neutral,0.95
0,28,0.0,0.0,60,neutral,1.0
0,29,0.07891438538708742,0.03378216278439302,60,cone,0.9
0,30,-0.004928019444147746,0.021495444746246595,60,neutral,0.85
0,31,-0.0019039076042396052,0.007000427140547668,60,neutral,0.9833333333333333
1,0,0.02168394103409752,0.03851283920582276,60,neutral,0.6333333333333333
1,1,-0.0010503073533376058,0.008135645775751472,60,neutral,0.9833333333333333
1,2,-0.08594847464505402,0.009844557288577305,60,bridge,1.0
1,3,0.002454669276873271,0.016512955488022896,60,neutral,0.9333333333333333
1,4,-0.0018875300884246826,0.010319163463254637,60,neutral,0.9666666666666667
1,5,0.0,0.0,60,neutral,1.0
1,6,0.0,0.0,60,neutral,1.0
1,7,-0.012613533437252045,0.023114601267328085,60,neutral,0.7666666666666667
1,8,-0.023072195119327968,0.048167284031983296,60,neutral,0.5333333333333333
1,9,-0.013384475807348887,0.026157635401233538,60,neutral,0.7833333333333333
1,10,-0.06460000041694867,0.028049389550055315,60,bridge,0.8666666666666667
1,11,0.0,0.0,60,neutral,1.0
1,12,-0.025325195033241203,0.04508060243135808,60,bridge,0.5
1,13,-0.036205076177914935,0.04295653848196437,60,bridge,0.5166666666666667
1,14,-0.01600850373506546,0.02754231364186536,60,neutral,0.7333333333333333
