layer,head,mean_delta_h1,std_delta_h1,n_prompts,role,stability
0,0,0.0,0.0,40,neutral,1.0
0,1,0.0,0.0,40,neutral,1.0
0,2,0.0020611639533724105,0.026977539466000983,40,neutral,0.85
0,3,0.0,0.0,40,neutral,1.0
0,4,0.0,0.0,40,neutral,1.0
0,5,-1.0164082050323487e-05,0.00014162266022153832,40,neutral,1.0
0,6,0.004659445277113459,0.020840792386443867,40,neutral,0.95
0,7,0.014880236610770226,0.030434496238277008,40,neutral,0.725
0,8,-0.0009962618350982666,0.030313173108724768,40,neutral,0.9
0,9,0.0,0.0,40,neutral,1.0
0,10,-0.0008868783712387085,0.015125932649609432,40,neutral,0.95
0,11,-7.014721632003785e-07,4.436499501837088e-06,40,neutral,1.0
0,12,0.0,0.0,40,neutral,1.0
0,13,0.0,0.0,40,neutral,1.0
0,14,0.0,0.0,40,neutral,1.0
0,15,-0.014120088517665863,0.028157900114761235,40,neutral,0.8
0,16,0.0017578125,0.011117382399029459,40,neutral,0.975
0,17,0.0,0.0,40,neutral,1.0
0,18,0.0,0.0,40,neutral,1.0
0,19,0.0,0.0,40,neutral,1.0
0,20,0.0,0.0,40,neutral,1.0
0,21,-0.005821033641695976,0.02198149517582171,40,neutral,0.85
0,22,0.0,0.0,40,neutral,1.0
0,23,-0.0012556478381156922,0.007941414215023949,40,neutral,0.975
1,0,0.001336669921875,0.008453842865928651,40,neutral,0.975
1,1,-0.004385001957416534,0.019744509525173794,40,neutral,0.95
1,2,0.0,0.0,40,neutral,1.0
1,3,-0.003883882028361161,0.017344463748776028,40,neutral,0.925
1,4,0.002673579752445221,0.011253970469740101,40,neutral,0.95
1,5,0.005037333195408185,0.02424890086242356,40,neutral,0.85
1,6,-0.002297162264585495,0.02004329696802822,40,neutral,0.875
1,7,0.007289632161458333,0.025969556348183882,40,neutral,0.925
1,8,0.0023060962557792664,0.014591733322319023,40,neutral,0.975
1,9,0.008922171294689179,0.026121947097993006,40,neutral,0.875
1,10,-7.913062969843541e-05,0.00032893991313851255,40,neutral,1.0
1,11,0.0011600181460380554,0.008687290418094712,40,neutral,0.975
1,12,0.009506407380104064,0.03007518907385406,40,neutral,0.9
1,13,-0.0017918646335601807,0.011290659505521878,40,neutral,0.975
1,14,1.6182661056518554e-06,1.0234813508221088e-05,40,neutral,1.0
1,15,0.0012336403131484985,0.022484337131509192,40,neutral,0.825
1,16,0.0055389404296875,0.01687775945924604,40,neutral,0.9
1,17,0.009347922354299798,0.029356519219333355,40,neutral,0.75
1,18,0.0050906630853811904,0.023658818469163838,40,neutral,0.825
1,19,-0.0020421162247657777,0.01678168604640053,40,neutral,0.925
1,20,-0.002884715497493744,0.03136492334514163,40,neutral,0.775
1,21,0.0043857815329517635,0.02546753704508454,40,neutral,0.825
1,22,0.010576613247394562,0.03289102903660276,40,neutral,0.825
