prompt_id,category,score_normal,score_masked,delta,layer,head,head_label
rep_001,repetition,3.461899915705715e-05,5.291493748791674e-05,1.8295938330859586e-05,19,8,L19H8
rep_002,repetition,6.605733042649826e-05,8.82845074143494e-05,2.2227176987851135e-05,19,8,L19H8
rep_003,repetition,0.0005271959386654151,0.0007596127836370549,0.0002324168449716398,19,8,L19H8
rep_004,repetition,0.0002637249980302416,0.00039031187910047277,0.0001265868810702312,19,8,L19H8
rep_005,repetition,0.002227595857209647,0.0036278706251502584,0.0014002747679406112,19,8,L19H8
rep_006,repetition,0.001437374498119165,0.0021517229449625965,0.0007143484468434315,19,8,L19H8
rep_007,repetition,0.000878004752792731,0.0012545056289175799,0.0003765008761248489,19,8,L19H8
rep_008,repetition,0.00042766802549677865,0.0005539579693269078,0.00012628994383012915,19,8,L19H8
rep_009,repetition,0.004626397310049111,0.008189364788497796,0.0035629674784486845,19,8,L19H8
rep_010,repetition,5.240889485970249e-05,7.196654322525034e-05,1.955764836554785e-05,19,8,L19H8
