layer,head,mean_delta_h1,std_delta_h1,n_prompts,role,stability
0,0,-0.003536170708109687,0.022685912615431406,60,neutral,0.8666666666666667
0,1,0.0025520195563634236,0.014172729688580127,60,neutral,0.9666666666666667
0,2,0.003003202217911917,0.0183623429100167,60,neutral,0.9666666666666667
0,3,-1.605848471323649e-06,2.043795961229675e-05,60,neutral,1.0
0,4,-0.0023032770955633526,0.051374768986073,60,neutral,0.8333333333333334
0,5,-0.0015104882852768591,0.0056788929207753705,60,neutral,1.0
0,6,0.0004118564386165829,0.005685434747209612,60,neutral,1.0
0,7,-0.0005199975635441715,0.04122717820510678,60,neutral,0.8333333333333334
0,8,0.0008174688722066647,0.01253627545382961,60,neutral,0.9666666666666667
0,9,-0.0007762691976001717,0.016010798902205598,60,neutral,0.9333333333333333
0,10,0.004733786892808725,0.0393985469006533,60,neutral,0.85
0,11,0.00013699173647116944,0.013381975279590229,60,neutral,0.9833333333333333
0,12,0.004419507297695193,0.03051006305417458,60,neutral,0.95
0,13,-0.0023948338309221395,0.029698212520166238,60,neutral,0.95
0,14,0.005869076641052542,0.014995866210958773,60,neutral,0.9
0,15,0.004400727365308701,0.04136481327715186,60,neutral,0.7833333333333333
0,16,0.0009039411942164097,0.04658307100882037,60,neutral,0.7666666666666667
0,17,-0.0022881655858858025,0.010352957541661217,60,neutral,0.9833333333333333
0,18,0.00018728276009923744,0.00975351731247894,60,neutral,0.9833333333333333
0,19,-0.003447030038752483,0.04241378448663767,60,neutral,0.8666666666666667
0,20,-0.0012514783398409155,0.01326044383336885,60,neutral,0.95
0,21,0.0,0.0,60,neutral,1.0
0,22,0.0021480174237600365,0.03142560283778978,60,neutral,0.7833333333333333
0,23,-0.0017913084700132492,0.017760904057093352,60,neutral,0.9333333333333333
0,24,0.0007549648407977498,0.008181417005067665,60,neutral,0.9833333333333333
0,25,0.0014269637098865335,0.009626132991071984,60,neutral,0.9833333333333333
0,26,0.0037899888023024517,0.027632932867882064,60,neutral,0.85
0,27,-0.0022162722012186364,0.044932407382251516,60,neutral,0.85
1,0,0.0003698325975583778,0.005046556793305394,60,neutral,1.0
1,1,0.003453126675868161,0.01846400979949353,60,neutral,0.9166666666666666
1,2,0.0038962236426062762,0.01610230525549352,60,neutral,0.95
1,3,-0.00365241301715385,0.01608745407909776,60,neutral,0.95
1,4,0.0024005773225304495,0.025068163961432546,60,neutral,0.8833333333333333
1,5,0.0009554051899023986,0.014240804061962428,60,neutral,0.9666666666666667
1,6,0.004388660695577762,0.020527935012552782,60,neutral,0.8833333333333333
1,7,-0.0010264721694995388,0.010650983499179301,60,neutral,0.9833333333333333
1,8,-0.0001603190932008956,0.024004969654423444,60,neutral,0.8333333333333334
1,9,-0.0038509548816510622,0.023715891460290895,60,neutral,0.85
1,10,-0.0005374120118488731,0.041090406792850635,60,neutral,0.7666666666666667
1,11,-0.00017579799313307496,0.01066072336398706,60,neutral,0.9666666666666667
