prompt_id,category,layer,head,delta_h1,role
rep_001,repetition,0,0,0.01859984397888184,neutral
rep_001,repetition,0,1,0.0,neutral
rep_001,repetition,0,2,0.0,neutral
rep_001,repetition,0,3,0.0,neutral
rep_001,repetition,0,4,0.2213134765625,cone
rep_001,repetition,0,5,0.0,neutral
rep_001,repetition,0,6,-0.00017468134562174942,neutral
rep_001,repetition,0,7,0.0,neutral
rep_001,repetition,0,8,-0.018740783135096237,neutral
rep_001,repetition,0,9,-0.028818130493164062,neutral
rep_001,repetition,0,10,-8.875131607055664e-05,neutral
rep_001,repetition,0,11,-3.1093756357819524e-05,neutral
rep_001,repetition,0,12,0.0,neutral
rep_001,repetition,0,13,-2.664327621459961e-05,neutral
rep_001,repetition,0,14,-0.012342760960261032,neutral
rep_001,repetition,0,15,0.05541306734085083,cone
rep_001,repetition,0,16,0.009385108947753906,neutral
rep_001,repetition,0,17,-1.5348196029663086e-05,neutral
rep_001,repetition,0,18,3.5434961318969727e-05,neutral
rep_001,repetition,0,19,0.08740234375,cone
rep_001,repetition,0,20,4.5180320739746094e-05,neutral
rep_001,repetition,0,21,0.0,neutral
rep_001,repetition,0,22,0.0757768452167511,cone
rep_001,repetition,0,23,0.010664721330006913,neutral
rep_001,repetition,0,24,0.0001221299171447754,neutral
rep_001,repetition,0,25,0.0016769891435449852,neutral
rep_001,repetition,0,26,0.037481069564819336,cone
rep_001,repetition,0,27,-0.1884745955467224,bridge
rep_001,repetition,1,0,0.0029720561070875756,neutral
rep_001,repetition,1,1,0.007298280795415238,neutral
rep_001,repetition,1,2,0.008398294448852539,neutral
rep_001,repetition,1,3,-0.02708524465560913,neutral
rep_001,repetition,1,4,-0.008422698293413439,neutral
rep_001,repetition,1,5,0.0,neutral
rep_001,repetition,1,6,0.030338505903879792,cone
rep_001,repetition,1,7,-0.0032409297095404715,neutral
rep_001,repetition,1,8,0.0,neutral
rep_001,repetition,1,9,-0.007444560527801514,neutral
rep_001,repetition,1,10,-0.024755388498306274,neutral
rep_001,repetition,1,11,-0.005269418160120651,neutral
rep_001,repetition,1,12,0.008521681030591324,neutral
rep_001,repetition,1,13,0.0,neutral
rep_001,repetition,1,14,0.002943997912936744,neutral
rep_001,repetition,1,15,0.0628662109375,cone
rep_001,repetition,1,16,0.02270293777639215,neutral
rep_001,repetition,1,17,0.0032354328367445173,neutral
rep_001,repetition,1,18,0.009689468094426348,neutral
rep_001,repetition,1,19,-0.008413632710774735,neutral
rep_001,repetition,1,20,-0.0019864991307258634,neutral
rep_001,repetition,1,21,0.0,neutral
rep_001,repetition,1,22,-0.01173385646608141,neutral
rep_001,repetition,1,23,-0.00309017163358237,neutral
rep_001,repetition,1,24,-0.006233960390090942,neutral
rep_001,repetition,1,25,-0.0057737131913502965,neutral
rep_001,repetition,1,26,-0.07991943359375,bridge
rep_001,repetition,1,27,0.009913265705108643,neutral
rep_001,repetition,2,0,0.0023335814476013184,neutral
rep_001,repetition,2,1,0.0012960632642110143,neutral
rep_001,repetition,2,2,0.0036963245698383856,neutral
rep_001,repetition,2,3,-0.01187732219696045,neutral
rep_001,repetition,2,4,-0.001670241355895996,neutral
rep_001,repetition,2,5,0.00035454119954790586,neutral
rep_001,repetition,2,6,-0.03561637401580811,bridge
rep_001,repetition,2,7,-0.0006825923919677734,neutral
rep_001,repetition,2,8,0.0012397964795430524,neutral
rep_001,repetition,2,9,0.003913812339305878,neutral
rep_001,repetition,2,10,0.0634765625,cone
rep_001,repetition,2,11,0.05889892578125,cone
rep_001,repetition,2,12,-0.0049683451652526855,neutral
rep_001,repetition,2,13,-0.0017718365698149718,neutral
rep_001,repetition,2,14,-0.017442735036214185,neutral
rep_001,repetition,2,15,0.001499265432357788,neutral
