layer,head,mean_delta_h1,std_delta_h1,n_prompts,role,stability
0,0,0.0005126244078079859,0.009053967521656318,40,neutral,0.975
0,1,0.001064091374476751,0.014835467394046698,40,neutral,0.925
0,2,0.0036957045041379477,0.028338008616713265,40,neutral,0.875
0,3,-0.0004126038934503286,0.0014581664245122122,40,neutral,1.0
0,4,-0.002665384993465649,0.012042941608167042,40,neutral,0.975
0,5,-0.002480973800023397,0.02622740512876233,40,neutral,0.85
0,6,0.0,0.0,40,neutral,1.0
0,7,-0.0002459677557150524,0.0026616866373882315,40,neutral,1.0
0,8,2.314150333404541e-05,0.00122789624734145,40,neutral,1.0
0,9,0.008467370395859083,0.02804044294169683,40,neutral,0.9
0,10,0.0027621790766716005,0.02058709706473374,40,neutral,0.925
0,11,0.005184091347314062,0.018304935418004934,40,neutral,0.95
0,12,7.755383849143982e-05,0.027031412802239592,40,neutral,0.825
0,13,0.00464418446024259,0.030200429121859093,40,neutral,0.825
0,14,-0.0022094368934631346,0.018951234998477468,40,neutral,0.925
0,15,-0.0014745049249558217,0.008029571429486652,40,neutral,0.975
0,16,0.006654108067353568,0.03189118036417537,40,neutral,0.825
0,17,0.008639400047915323,0.03593777157168666,40,neutral,0.675
0,18,-0.004685958698391913,0.04936173576303927,40,neutral,0.65
0,19,0.003153015424807866,0.02739391070367308,40,neutral,0.9
0,20,-0.0011001597273917426,0.016334627775142548,40,neutral,0.95
0,21,0.0,0.0,40,neutral,1.0
0,22,-0.003877440094947815,0.013793264970957916,40,neutral,0.925
0,23,-0.004310635974009831,0.024986487239666413,40,neutral,0.875
0,24,-0.008238599449396134,0.03087682446520168,40,neutral,0.825
0,25,-0.008942396193742753,0.04554000795523606,40,neutral,0.55
0,26,-0.005201883614063263,0.01987808716648151,40,neutral,0.925
0,27,-0.013975313554207483,0.04860010966593781,40,neutral,0.6
1,0,0.003085348556439082,0.020955776255613658,40,neutral,0.85
1,1,0.0,0.0,40,neutral,1.0
1,2,0.0,0.0,40,neutral,1.0
1,3,0.0014180034399032594,0.014769827432197308,40,neutral,0.925
1,4,-0.0016864985227584839,0.010666353204852253,40,neutral,0.975
1,5,0.0010343596339225769,0.00830921798806141,40,neutral,0.975
1,6,-0.003029382601380348,0.013379563509654913,40,neutral,0.95
1,7,0.00796722526351611,0.02136368858761143,40,neutral,0.85
1,8,-0.004521680623292923,0.025162135725489528,40,neutral,0.85
1,9,-0.0011637257039546968,0.01783885667885646,40,neutral,0.9
1,10,-0.00018746107816696166,0.018271061975880465,40,neutral,0.9
1,11,0.0008494447668393454,0.028095213732385337,40,neutral,0.85
1,12,-0.006034664064645767,0.01753681992029559,40,neutral,0.9
1,13,0.002269148826599121,0.011675354644357623,40,neutral,0.95
1,14,0.002139863634393329,0.02339487986390937,40,neutral,0.85
1,15,0.004032668968041738,0.021014408159492404,40,neutral,0.9
1,16,0.01084251049373831,0.03590124267379967,40,neutral,0.625
1,17,0.0005299793680508932,0.012552761548715086,40,neutral,0.95
1,18,-0.003170046955347061,0.019761152968513482,40,neutral,0.9
1,19,0.013125966886679333,0.02481230961818594,40,neutral,0.8
1,20,-0.0004343378047148384,0.024894056007860432,40,neutral,0.825
1,21,0.0,0.0,40,neutral,1.0
