step,split,task_loss,reg_loss,topo_drift,condition
0,train,1.2827438116073608,3.4571595191955566,2.939464749201566,frob_reg
1,train,0.8538785576820374,4.242457389831543,2.9009657235333037,frob_reg
2,train,1.7001475095748901,2.83514404296875,3.104344039480523,frob_reg
3,train,0.9696142077445984,3.6559276580810547,3.104344039480523,frob_reg
4,train,1.6764634847640991,3.5180301666259766,3.0079151152604604,frob_reg
5,train,1.8113492727279663,2.6111035346984863,3.104344039480523,frob_reg
6,train,1.2519018650054932,3.47139573097229,3.104344039480523,frob_reg
7,train,2.029550075531006,3.3650879859924316,2.911894873750787,frob_reg
8,train,1.446042776107788,3.2776904106140137,3.104344039480523,frob_reg
9,train,1.3020559549331665,3.012824535369873,3.104344039480523,frob_reg
10,train,4.126550197601318,3.2010817527770996,2.9249547090474164,frob_reg
11,train,3.916322946548462,2.822920322418213,3.0261820907943235,frob_reg
12,train,2.490504741668701,2.24662446975708,3.104344039480523,frob_reg
13,train,3.92722749710083,3.297161102294922,2.9509141180851555,frob_reg
14,train,3.1587610244750977,2.803645133972168,3.104344039480523,frob_reg
15,train,4.891200542449951,2.7369203567504883,2.977325954826278,frob_reg
16,train,4.0719499588012695,2.6624882221221924,3.104344039480523,frob_reg
17,train,4.005734920501709,2.4392402172088623,3.104344039480523,frob_reg
18,train,5.0287981033325195,3.0052242279052734,2.904959931061492,frob_reg
19,train,3.6047708988189697,2.94130539894104,3.104344039480523,frob_reg
19,val,2.576904705166817,0.0,3.024691797054797,frob_reg
20,train,2.6354451179504395,3.1905364990234375,2.981484736781769,frob_reg
21,train,1.3906224966049194,3.6963248252868652,3.104344039480523,frob_reg
22,train,2.5466063022613525,3.3408920764923096,3.104344039480523,frob_reg
23,train,1.2217375040054321,4.57413387298584,2.722766771480556,frob_reg
24,train,1.905730128288269,3.670549154281616,3.104344039480523,frob_reg
25,train,1.665405035018921,3.7087976932525635,2.917306742593224,frob_reg
26,train,0.851370632648468,3.995664596557617,3.104344039480523,frob_reg
27,train,1.487868070602417,3.8676576614379883,3.104344039480523,frob_reg
28,train,2.2072196006774902,3.5922515392303467,2.752792911562157,frob_reg
29,train,1.1691389083862305,3.7637181282043457,3.104344039480523,frob_reg
30,train,2.491020679473877,3.755244255065918,3.104344039480523,frob_reg
31,train,2.4452810287475586,4.012774467468262,2.724746530940525,frob_reg
32,train,2.2832109928131104,3.131361961364746,3.104344039480523,frob_reg
33,train,2.699711799621582,3.4459848403930664,2.8231052714951534,frob_reg
34,train,3.270765542984009,3.3109357357025146,3.104344039480523,frob_reg
35,train,3.066594362258911,3.695080280303955,2.8171725674322134,frob_reg
36,train,2.4558608531951904,4.026171684265137,3.104344039480523,frob_reg
37,train,3.767542839050293,3.29640531539917,2.9066201436328307,frob_reg
38,train,5.069397449493408,3.2534635066986084,3.104344039480523,frob_reg
39,train,3.5340449810028076,3.5361509323120117,2.8818016796599046,frob_reg
39,val,2.468432664871216,0.0,3.0288495428092035,frob_reg
40,train,1.076673150062561,3.1948819160461426,2.9861572729094235,frob_reg
41,train,0.7018710374832153,3.786647319793701,2.855080277754059,frob_reg
42,train,1.6182953119277954,2.448367118835449,3.104344039480523,frob_reg
43,train,0.8229836225509644,3.265812397003174,3.104344039480523,frob_reg
44,train,1.3742204904556274,3.21893572807312,2.8793121909339154,frob_reg
45,train,1.651714563369751,2.2685539722442627,3.104344039480523,frob_reg
46,train,0.8569568395614624,3.1470766067504883,3.104344039480523,frob_reg
47,train,1.643031120300293,3.1480000019073486,3.029079820692647,frob_reg
48,train,1.2276201248168945,2.830476999282837,3.104344039480523,frob_reg
49,train,0.9004138112068176,2.683938980102539,3.104344039480523,frob_reg
50,train,3.843043804168701,3.0698089599609375,2.968586861454681,frob_reg
51,train,3.5402796268463135,2.76473069190979,3.003910523807761,frob_reg
52,train,2.2069966793060303,1.8971021175384521,3.104344039480523,frob_reg
53,train,3.7018423080444336,3.1014976501464844,2.9586345301269397,frob_reg
54,train,3.016427755355835,2.5013561248779297,3.104344039480523,frob_reg
55,train,4.380955219268799,2.6819920539855957,3.024800715296262,frob_reg
56,train,3.8255302906036377,2.3306541442871094,3.104344039480523,frob_reg
57,train,3.7738866806030273,2.090419292449951,3.104344039480523,frob_reg
58,train,4.669548511505127,2.8666651248931885,2.940079049533012,frob_reg
59,train,3.351881980895996,2.614081382751465,3.104344039480523,frob_reg
59,val,2.2702054500579836,0.0,3.0754466744853532,frob_reg
60,train,2.1831061840057373,3.0464580059051514,3.077209349531377,frob_reg
61,train,1.1976040601730347,3.238093376159668,3.104344039480523,frob_reg
62,train,2.333902597427368,3.023646354675293,3.104344039480523,frob_reg
63,train,1.074584722518921,4.224932670593262,2.6797141587579034,frob_reg
64,train,1.634765863418579,3.3029239177703857,3.104344039480523,frob_reg
65,train,1.399641513824463,3.433506488800049,2.9447912171773654,frob_reg
66,train,0.7931779026985168,3.646751880645752,3.104344039480523,frob_reg
67,train,1.380667805671692,3.534324884414673,3.104344039480523,frob_reg
68,train,2.0578675270080566,3.335210084915161,3.0720789422417165,frob_reg
69,train,0.8911457061767578,3.5112195014953613,3.104344039480523,frob_reg
70,train,2.194075345993042,3.431262493133545,3.104344039480523,frob_reg
71,train,2.2232627868652344,3.677497625350952,3.0804757572762473,frob_reg
72,train,1.9243135452270508,2.931912899017334,3.104344039480523,frob_reg
73,train,2.4005188941955566,3.2965424060821533,3.104344039480523,frob_reg
74,train,2.6295125484466553,3.1631276607513428,3.104344039480523,frob_reg
75,train,2.8371918201446533,3.4688944816589355,3.0248799679395044,frob_reg
76,train,2.236999988555908,3.6447181701660156,3.104344039480523,frob_reg
77,train,3.420356273651123,3.1767642498016357,3.073066466688276,frob_reg
78,train,4.162887096405029,2.9802002906799316,3.104344039480523,frob_reg
79,train,3.054293632507324,3.3311872482299805,3.0715773433107367,frob_reg
79,val,2.119885656237602,0.0,3.090259370092783,frob_reg
80,train,0.9863383769989014,3.2674851417541504,3.104344039480523,frob_reg
81,train,0.6467893123626709,3.7024331092834473,3.104344039480523,frob_reg
82,train,1.1150888204574585,2.1347134113311768,3.104344039480523,frob_reg
83,train,0.6399925947189331,2.8773579597473145,3.104344039480523,frob_reg
84,train,1.0470412969589233,3.0431721210479736,3.072930296681188,frob_reg
85,train,1.3596159219741821,1.9652786254882812,3.104344039480523,frob_reg
86,train,0.6710575819015503,2.738750457763672,3.079371374961456,frob_reg
87,train,1.1518951654434204,3.121425151824951,3.0872771238841175,frob_reg
88,train,1.000867247581482,2.526461601257324,3.0856294978745353,frob_reg
89,train,0.651689887046814,2.5038461685180664,3.104344039480523,frob_reg
90,train,3.4014177322387695,2.943568229675293,3.0473944103528012,frob_reg
91,train,3.000973701477051,2.7126612663269043,3.0813328372334574,frob_reg
92,train,1.8990821838378906,1.7528527975082397,3.104344039480523,frob_reg
93,train,3.176159620285034,3.0053248405456543,3.0381690491398374,frob_reg
94,train,2.7887964248657227,2.349963665008545,3.104344039480523,frob_reg
95,train,3.6436691284179688,2.641498327255249,3.0829953787562845,frob_reg
96,train,3.4605464935302734,2.1695618629455566,3.104344039480523,frob_reg
97,train,3.2584190368652344,2.029663562774658,3.104344039480523,frob_reg
98,train,4.116922855377197,2.766319751739502,3.0443919531189483,frob_reg
99,train,2.9565165042877197,2.519469976425171,3.104344039480523,frob_reg
99,val,1.912952035665512,0.0,3.088532704603121,frob_reg
100,train,1.7359123229980469,2.9797730445861816,3.1012822361091263,frob_reg
101,train,0.9784333109855652,3.057744026184082,3.104344039480523,frob_reg
102,train,2.0901594161987305,2.9361305236816406,3.104344039480523,frob_reg
103,train,0.9039936661720276,4.036954879760742,2.7847309508327593,frob_reg
104,train,1.3353549242019653,3.1470577716827393,3.104344039480523,frob_reg
105,train,1.1091080904006958,3.3067688941955566,3.0008136601763833,frob_reg
106,train,0.7026384472846985,3.5030617713928223,3.104344039480523,frob_reg
107,train,1.199566125869751,3.411726713180542,3.104344039480523,frob_reg
108,train,1.8446626663208008,3.2074015140533447,3.104344039480523,frob_reg
109,train,0.7991594672203064,3.3629140853881836,3.104344039480523,frob_reg
110,train,1.9769268035888672,3.312600612640381,3.104344039480523,frob_reg
111,train,1.9169291257858276,3.177726984024048,3.084641082432219,frob_reg
112,train,1.6971030235290527,2.8232500553131104,3.104344039480523,frob_reg
113,train,2.10430645942688,2.452902317047119,3.1046855476589137,frob_reg
114,train,2.199699640274048,3.0363879203796387,3.104344039480523,frob_reg
115,train,2.571542739868164,2.541533946990967,2.995139209762298,frob_reg
116,train,1.9371899366378784,3.525589942932129,3.104344039480523,frob_reg
117,train,3.1931850910186768,2.124948024749756,3.0697224900807205,frob_reg
118,train,3.403069257736206,2.872727394104004,3.104344039480523,frob_reg
119,train,2.654055595397949,2.2973761558532715,3.0935455246050436,frob_reg
119,val,1.7909715220332145,0.0,3.089356693010176,frob_reg
120,train,1.030735969543457,1.9235159158706665,3.104344039480523,frob_reg
121,train,0.680131733417511,2.357790946960449,3.0859125288376723,frob_reg
122,train,0.7463904023170471,2.0154471397399902,3.104344039480523,frob_reg
123,train,0.47167840600013733,2.7371227741241455,3.104344039480523,frob_reg
124,train,0.9056180715560913,1.9144248962402344,3.104344039480523,frob_reg
125,train,1.173285961151123,1.8497159481048584,3.104344039480523,frob_reg
126,train,0.5737941265106201,2.536318302154541,3.0862337230718877,frob_reg
127,train,0.9454652667045593,1.903270959854126,3.0984587943282187,frob_reg
128,train,0.7102454900741577,2.364968776702881,3.0853484967035856,frob_reg
129,train,0.4935688078403473,2.3943448066711426,3.104344039480523,frob_reg
130,train,3.1928627490997314,1.9491381645202637,3.042669537863276,frob_reg
131,train,2.5673136711120605,1.6711843013763428,3.104344039480523,frob_reg
132,train,1.2695512771606445,1.6979024410247803,3.104344039480523,frob_reg
133,train,2.8904738426208496,1.9251567125320435,3.0668770845282243,frob_reg
134,train,2.479302406311035,2.2760705947875977,3.104344039480523,frob_reg
135,train,3.0954198837280273,1.6576564311981201,3.0840897104122327,frob_reg
136,train,3.0184011459350586,2.0818889141082764,3.104344039480523,frob_reg
137,train,2.4173665046691895,2.033026933670044,3.104344039480523,frob_reg
138,train,3.663410186767578,1.708174228668213,3.095405119148935,frob_reg
139,train,2.3027632236480713,2.4171535968780518,3.104344039480523,frob_reg
139,val,1.6002269297838212,0.0,3.0976559109673536,frob_reg
140,train,1.5270156860351562,1.9085347652435303,3.086083337666574,frob_reg
141,train,0.8318607211112976,2.9323019981384277,3.104344039480523,frob_reg
