layer,head,mean_delta_h1,std_delta_h1,n_prompts,role,stability
0,0,0.002420568135049608,0.026119275944075333,60,neutral,0.8166666666666667
0,1,0.0,0.0,60,neutral,1.0
0,2,-0.00011666417121887207,0.0009036767844595642,60,neutral,1.0
0,3,-0.0010891164673699273,0.03436520965525344,60,neutral,0.7666666666666667
0,4,0.0014361133178075155,0.022522075683140873,60,neutral,0.9
0,5,-0.0009434173504511515,0.007114097947999081,60,neutral,0.9833333333333333
0,6,0.0010029526054859158,0.016783298208983465,60,neutral,0.9333333333333333
0,7,-0.003941409143190536,0.024937968134667064,60,neutral,0.8833333333333333
0,8,0.005022774471176995,0.022939375341327176,60,neutral,0.8666666666666667
0,9,-0.00012348790963490804,0.0009565332349479305,60,neutral,1.0
0,10,0.0033724526036754718,0.018231502828102476,60,neutral,0.9333333333333333
0,11,0.0010014553249828395,0.010803019754669805,60,neutral,0.9833333333333333
0,12,0.0007650916585846547,0.010057346648272411,60,neutral,0.9833333333333333
0,13,0.009477273068494267,0.029337023131381094,60,neutral,0.8166666666666667
0,14,0.005807860253535116,0.028134299077567853,60,neutral,0.8333333333333334
0,15,-0.00022755761941274007,0.0010572449428202328,60,neutral,1.0
0,16,0.0014612814397723583,0.016250621010223287,60,neutral,0.9333333333333333
0,17,0.0004441164607408813,0.019355897454011985,60,neutral,0.9166666666666666
0,18,2.4259090423583986e-06,1.879101064093612e-05,60,neutral,1.0
0,19,-0.0017675393323103587,0.02163609202798852,60,neutral,0.8833333333333333
0,20,0.005036709386140409,0.02219169299926179,60,neutral,0.9333333333333333
0,21,-0.002165640301223106,0.007006276732630468,60,neutral,0.9833333333333333
0,22,-2.8212865193684896e-07,2.1853591408787292e-06,60,neutral,1.0
0,23,-0.001177758293019401,0.011011799840432955,60,neutral,0.95
0,24,0.0004359283503698393,0.008843578154327347,60,neutral,0.9833333333333333
0,25,-0.00023498006721560234,0.0011635769451049769,60,neutral,1.0
0,26,-1.7361508475410384e-06,0.0001002586554987668,60,neutral,1.0
0,27,-0.0003578290343284607,0.022732295503403898,60,neutral,0.8833333333333333
0,28,4.841883977254232e-06,3.7505072016348344e-05,60,neutral,1.0
0,29,-0.0023727719982465107,0.02639733282230155,60,neutral,0.8666666666666667
0,30,-7.085526982943217e-05,0.02524433212371318,60,neutral,0.9333333333333333
0,31,0.0006781686191994049,0.024893271441281225,60,neutral,0.85
1,0,0.0029832506014241113,0.01855838559152131,60,neutral,0.9166666666666666
1,1,0.0009326502560365083,0.01995091773033094,60,neutral,0.9
1,2,0.001344667144474529,0.01707313208758696,60,neutral,0.9333333333333333
1,3,-0.001231223149251548,0.012604692173181045,60,neutral,0.9666666666666667
1,4,-1.0479986667633056e-05,6.06220353235155e-05,60,neutral,1.0
1,5,0.003990882322252484,0.022878819349692634,60,neutral,0.9
1,6,0.0019419585830635494,0.019246341708789947,60,neutral,0.9
1,7,-0.0023499154982915466,0.007544668685158982,60,neutral,0.9833333333333333
1,8,0.0035340701591558554,0.02131773108121823,60,neutral,0.8666666666666667
1,9,-1.1024439345785897e-05,0.02040076097002139,60,neutral,0.9
1,10,-0.00950527290503184,0.03287955124795964,60,neutral,0.75
1,11,0.0020195610655678645,0.026152621570469624,60,neutral,0.8
1,12,0.011847574065128963,0.02900926145414424,60,neutral,0.8
1,13,0.0014595217174953885,0.013579464246985402,60,neutral,0.9833333333333333
1,14,0.0017543288568655647,0.019528606696573355,60,neutral,0.9166666666666666
1,15,0.010561117662323845,0.027967061257661397,60,neutral,0.85
1,16,-0.00163827420318083,0.02680248815465107,60,neutral,0.85
1,17,-0.00365692675113678,0.013355768367927455,60,neutral,0.9333333333333333
1,18,0.006131197461654042,0.03194168626332342,60,neutral,0.8333333333333334
1,19,-0.004640076940967923,0.02807676777265173,60,neutral,0.85
1,20,0.004149833619594574,0.02322603882193429,60,neutral,0.8666666666666667
1,21,-0.0060180883275138,0.03795100844489746,60,neutral,0.6833333333333333
1,22,0.006959735626975696,0.031335560570120755,60,neutral,0.8
1,23,0.008605962499831981,0.02139526366889345,60,neutral,0.8833333333333333
1,24,0.013656471800910218,0.04854778563526111,60,neutral,0.4666666666666667
1,25,8.602076106601306e-05,0.035875990668401456,60,neutral,0.7833333333333333
1,26,0.0034126396584734427,0.01855727837918766,60,neutral,0.95
1,27,0.008000383690078421,0.02833590108834746,60,neutral,0.7833333333333333
1,28,0.017627794676356844,0.03332946007793201,60,neutral,0.7333333333333333
1,29,0.007367679311169518,0.020668720258263763,60,neutral,0.8833333333333333
1,30,0.0034830777181519405,0.019599596405654257,60,neutral,0.9
1,31,0.0017185388793590952,0.03299510112498087,60,neutral,0.8166666666666667
2,0,-0.0016184937090627728,0.028545626397866206,60,neutral,0.8166666666666667
2,1,0.01262261509031645,0.0334880322276009,60,neutral,0.7
2,2,0.004535933305419554,0.03556413771436644,60,neutral,0.7166666666666667
2,3,-0.004864106249241601,0.035914017129472,60,neutral,0.7166666666666667
