prompt_id,category,score_normal,score_masked,delta,layer,head,head_label
rep_001,repetition,3.236113132317153e-06,4.038423547614238e-06,8.023104152970851e-07,19,20,L19H20
rep_002,repetition,7.776542063312915e-06,9.636610407116107e-06,1.8600683438031925e-06,19,20,L19H20
rep_003,repetition,0.001130132988146054,0.0014696092928670119,0.0003394763047209579,19,20,L19H20
rep_004,repetition,0.00010689978058165747,0.00011850631774718968,1.1606537165532213e-05,19,20,L19H20
rep_005,repetition,0.00039998524914944234,0.0005135441204280255,0.00011355887127858318,19,20,L19H20
rep_006,repetition,0.0002174827493965946,0.00029419520630982163,7.671245691322703e-05,19,20,L19H20
rep_007,repetition,8.535877044808314e-05,0.00010898995624498642,2.363118579690327e-05,19,20,L19H20
rep_008,repetition,1.2616124758600793e-05,1.5036892626011085e-05,2.420767867410292e-06,19,20,L19H20
rep_009,repetition,0.00045101731615482157,0.0005653933621393636,0.00011437604598454204,19,20,L19H20
rep_010,repetition,2.7639299641066626e-05,3.575216437103385e-05,8.112864729967227e-06,19,20,L19H20
rep_001,repetition,0.0030930725225349295,0.004988396728922971,0.001895324206388041,21,1,L21H1
rep_002,repetition,0.005673268280169499,0.008354513153803518,0.0026812448736340186,21,1,L21H1
rep_003,repetition,0.003401046032700192,0.005552389786737195,0.002151343754037003,21,1,L21H1
rep_004,repetition,0.009554160098981372,0.011149545051352381,0.0015953849523710085,21,1,L21H1
rep_005,repetition,0.013958532669805524,0.01978243722414784,0.005823904554342315,21,1,L21H1
rep_006,repetition,0.008834195261557971,0.015609170768549945,0.0067749755069919735,21,1,L21H1
rep_007,repetition,0.006299660972330753,0.009347374526203845,0.003047713553873092,21,1,L21H1
rep_008,repetition,0.004319637892271649,0.006207270446549117,0.0018876325542774679,21,1,L21H1
rep_009,repetition,0.011266794700941142,0.01632860725396885,0.005061812553027709,21,1,L21H1
rep_010,repetition,0.003551977335302413,0.005423128084937275,0.0018711507496348622,21,1,L21H1
rep_001,repetition,0.0028358078398843015,0.004397423281931255,0.0015616154420469539,21,3,L21H3
rep_002,repetition,0.003090747478773058,0.005128171478058801,0.0020374239992857427,21,3,L21H3
rep_003,repetition,0.010350240079685616,0.019125371832557993,0.008775131752872378,21,3,L21H3
rep_004,repetition,0.004344363380745272,0.010452738212128098,0.006108374831382826,21,3,L21H3
rep_005,repetition,0.010096616959136108,0.0175697436846621,0.007473126725525992,21,3,L21H3
rep_006,repetition,0.015974199138787535,0.026064133156007318,0.010089934017219783,21,3,L21H3
rep_007,repetition,0.008519590227564131,0.01951018856485035,0.010990598337286217,21,3,L21H3
rep_008,repetition,0.008593561322279362,0.016239356303824046,0.007645794981544683,21,3,L21H3
rep_009,repetition,0.009525048473017722,0.015666405876538135,0.006141357403520413,21,3,L21H3
rep_010,repetition,0.006730928180841274,0.011444816671698686,0.004713888490857412,21,3,L21H3
