prompt_id,category,layer,head,delta_h1,role
rep_001,repetition,0,0,0.0,neutral
rep_001,repetition,0,1,0.0035415093104044573,neutral
rep_001,repetition,0,2,0.0,neutral
rep_001,repetition,0,3,-0.0717892050743103,bridge
rep_001,repetition,0,4,0.0,neutral
rep_001,repetition,0,5,0.0,neutral
rep_001,repetition,0,6,0.0,neutral
rep_001,repetition,0,7,0.0,neutral
rep_001,repetition,0,8,0.0,neutral
rep_001,repetition,0,9,0.0,neutral
rep_001,repetition,0,10,0.0,neutral
rep_001,repetition,0,11,0.0,neutral
rep_001,repetition,0,12,0.0,neutral
rep_001,repetition,0,13,0.0,neutral
rep_001,repetition,0,14,-0.0008686184883117676,neutral
rep_001,repetition,0,15,0.0,neutral
rep_001,repetition,1,0,0.0,neutral
rep_001,repetition,1,1,-0.05816963315010071,bridge
rep_001,repetition,1,2,-0.06963449716567993,bridge
rep_001,repetition,1,3,-0.0697367548942566,bridge
rep_001,repetition,1,4,0.0,neutral
rep_001,repetition,1,5,-0.05836844444274902,bridge
rep_001,repetition,1,6,-0.0747031569480896,bridge
rep_001,repetition,1,7,-0.07360339164733887,bridge
rep_001,repetition,1,8,-0.055487990379333496,bridge
rep_001,repetition,1,9,-0.0949981411298116,bridge
rep_001,repetition,1,10,0.0,neutral
rep_001,repetition,1,11,0.0,neutral
rep_001,repetition,1,12,-0.10696508487065633,bridge
rep_001,repetition,1,13,-0.08828520774841309,bridge
rep_001,repetition,1,14,0.030967275301615402,cone
rep_001,repetition,1,15,0.0,neutral
rep_001,repetition,2,0,-0.10707670450210571,bridge
rep_001,repetition,2,1,-0.09414312839508057,bridge
rep_001,repetition,2,2,-0.06674972176551819,bridge
rep_001,repetition,2,3,0.0,neutral
rep_001,repetition,2,4,-0.040570229291915894,bridge
rep_001,repetition,2,5,0.06680373634610857,cone
rep_001,repetition,2,6,-0.055472731590270996,bridge
rep_001,repetition,2,7,0.0,neutral
rep_001,repetition,2,8,0.0,neutral
rep_001,repetition,2,9,-0.07311087846755981,bridge
