layer,head,mean_delta_h1,std_delta_h1,n_prompts,role,stability
0,0,-0.0049225954877005675,0.028446713552650407,60,neutral,0.7833333333333333
0,1,-0.025558231782818595,0.04275439152690396,60,bridge,0.48333333333333334
0,2,-0.000879574649863773,0.006617251274855923,60,neutral,0.9833333333333333
0,3,-0.029701005797537545,0.03519358025479366,60,neutral,0.5666666666666667
0,4,-0.0016800610555542839,0.019157484753150378,60,neutral,0.9333333333333333
0,5,-0.0048934290806452434,0.020432418925876522,60,neutral,0.8833333333333333
0,6,-0.03048030975792143,0.03777122311374617,60,neutral,0.5166666666666667
0,7,-0.018322987913612334,0.03429983869700352,60,neutral,0.6666666666666666
0,8,-0.007948172324233584,0.020622455367173914,60,neutral,0.8666666666666667
0,9,-0.008379823962847392,0.021689688659257998,60,neutral,0.8666666666666667
0,10,-0.01708564543061786,0.03313655263840767,60,neutral,0.7166666666666667
0,11,-0.0008774111668268839,0.018422421817129823,60,neutral,0.9166666666666666
0,12,-0.024530996230214534,0.04798724695096705,60,bridge,0.4666666666666667
0,13,-0.0263750812884361,0.034508203548155016,60,neutral,0.6166666666666667
0,14,-0.03915407336459904,0.03242180467334223,60,bridge,0.6166666666666667
0,15,0.005502227445443471,0.02026775210525971,60,neutral,0.8833333333333333
0,16,-0.024539886358966177,0.03584425099509148,60,neutral,0.6666666666666666
0,17,-0.005767331686284807,0.03809986125842127,60,neutral,0.7833333333333333
0,18,-0.04029232465637424,0.03965409448433792,60,bridge,0.5333333333333333
0,19,0.00074787437915802,0.01935459905825986,60,neutral,0.8833333333333333
0,20,0.005373406807581584,0.020308700250382155,60,neutral,0.8833333333333333
0,21,0.0001965433359146118,0.018504215806913672,60,neutral,0.9
0,22,-0.0038210183382034303,0.014442017569149234,60,neutral,0.9333333333333333
0,23,-0.0028595527427064046,0.040635934179765715,60,neutral,0.6666666666666666
0,24,-0.013945040338569217,0.045264351953463136,60,neutral,0.5666666666666667
0,25,-0.002943509817123413,0.015255114561681014,60,neutral,0.9166666666666666
0,26,0.0,0.0,60,neutral,1.0
0,27,-0.008324255877070957,0.02172760308168695,60,neutral,0.8666666666666667
0,28,-0.029748640419944884,0.03400504867222489,60,neutral,0.55
0,29,-0.054405325056966616,0.0484360437070027,60,bridge,0.6
0,30,-0.033827818601807474,0.03496549880396881,60,bridge,0.5
0,31,-0.03947132635447714,0.04029444940029981,60,bridge,0.5166666666666667
1,0,-0.013127636793586943,0.025569135202509013,60,neutral,0.7833333333333333
1,1,-0.006309997042020162,0.019293956418834673,60,neutral,0.9
1,2,0.0,0.0,60,neutral,1.0
1,3,-0.028764377463431585,0.031791677977189556,60,neutral,0.5333333333333333
1,4,-0.014481619000434875,0.02728564256467936,60,neutral,0.7666666666666667
1,5,-0.004752946396668752,0.025988745701450468,60,neutral,0.8833333333333333
1,6,-0.02936453229851193,0.03632826736252477,60,bridge,0.48333333333333334
1,7,-0.014120773474375407,0.03038889518079831,60,neutral,0.75
1,8,0.0,0.0,60,neutral,1.0
1,9,0.0,0.0,60,neutral,1.0
1,10,0.0,0.0,60,neutral,1.0
1,11,-0.004968560735384623,0.016671812944843184,60,neutral,0.9166666666666666
1,12,-0.000895617405573527,0.006937422592719529,60,neutral,0.9833333333333333
1,13,-0.029161304897732207,0.03214181621539656,60,neutral,0.5333333333333333
1,14,-0.0008648569385210673,0.00669915303948805,60,neutral,0.9833333333333333
1,15,-0.02099144657452901,0.03166878644194202,60,neutral,0.6833333333333333
1,16,-0.011891956130663553,0.02904138985692914,60,neutral,0.85
1,17,-0.05954038913751769,0.029501252549262676,60,bridge,0.85
1,18,-0.01511425781581137,0.04198201166025776,60,neutral,0.85
1,19,-0.037304379964859954,0.0369564820869387,60,bridge,0.5666666666666667
1,20,0.0,0.0,60,neutral,1.0
1,21,-0.0734766402745287,0.013768550093411163,60,bridge,0.9833333333333333
1,22,-0.0008846839269002278,0.006852732231083926,60,neutral,0.9833333333333333
1,23,-0.006724797520372602,0.018705877354538932,60,neutral,0.8833333333333333
1,24,-0.04074726813921222,0.03551208339148648,60,bridge,0.6
1,25,0.0,0.0,60,neutral,1.0
1,26,0.0,0.0,60,neutral,1.0
1,27,-0.014408754309018452,0.02660367167157183,60,neutral,0.7666666666666667
1,28,0.0,0.0,60,neutral,1.0
1,29,0.0,0.0,60,neutral,1.0
1,30,-0.002818949520587921,0.012406313857869358,60,neutral,0.95
1,31,0.0,0.0,60,neutral,1.0
2,0,-0.02694955286052492,0.03336718541262208,60,neutral,0.5833333333333334
2,1,-0.01841534748673439,0.028693546777019775,60,neutral,0.7
2,2,-0.037778294376201095,0.03381209889987956,60,bridge,0.5833333333333334
2,3,-0.009444419542948406,0.022889719985747552,60,neutral,0.85
2,4,0.0,0.0,60,neutral,1.0
2,5,-0.0008840282758076985,0.006847653579559347,60,neutral,0.9833333333333333
2,6,0.0,0.0,60,neutral,1.0
2,7,-0.0010716130336125692,0.008300678865520578,60,neutral,0.9833333333333333
2,8,-0.030255716459618675,0.03087567117961715,60,bridge,0.5
2,9,-0.017806688282224866,0.0324993749179037,60,neutral,0.75
2,10,-0.010860299070676168,0.026870229118199546,60,neutral,0.85
2,11,-0.01630140244960785,0.036890315109568826,60,neutral,0.7333333333333333
2,12,-0.07149151252648796,0.042305456506349086,60,bridge,0.8
2,13,-0.07475028326564466,0.018947408282852792,60,bridge,0.9666666666666667
2,14,-0.04907195587424581,0.03234918288615927,60,bridge,0.7166666666666667
2,15,-0.013836300041940476,0.02554432923545465,60,neutral,0.7666666666666667
2,16,-0.01853441129128138,0.029189204984228626,60,neutral,0.7
2,17,-0.013436544603771633,0.02625907225979781,60,neutral,0.7833333333333333
2,18,-0.019264389077822366,0.031218638785456086,60,neutral,0.7
2,19,0.0,0.0,60,neutral,1.0
2,20,-0.0946673997544595,0.0292606297220521,60,bridge,0.9666666666666667
2,21,-0.07721097133603948,0.049164862691109174,60,bridge,0.7833333333333333
2,22,-0.06012435405361597,0.040123623266963254,60,bridge,0.7166666666666667
2,23,-0.02355157520544248,0.04068558561192416,60,neutral,0.7333333333333333
2,24,-0.042928440570831304,0.0300816585410221,60,bridge,0.6833333333333333
2,25,-0.06913028032924609,0.05206793447094284,60,bridge,0.6833333333333333
2,26,-0.08640182349484823,0.03853268771507966,60,bridge,0.9
2,27,-0.07558198710019232,0.015628689224888536,60,bridge,0.9833333333333333
2,28,-0.03155061913861169,0.036262526196729164,60,neutral,0.55
2,29,-0.028373479346434274,0.034687819849770145,60,neutral,0.5
2,30,-0.011066819727420806,0.02389302785674297,60,neutral,0.8166666666666667
2,31,-0.015267214675744375,0.030206842665074275,60,neutral,0.7833333333333333
3,0,-0.006379221379756927,0.019595040771318878,60,neutral,0.9
3,1,0.0,0.0,60,neutral,1.0
3,2,-0.008145393927892049,0.026317547700676142,60,neutral,0.8166666666666667
3,3,-0.006305319567521413,0.02474097614336379,60,neutral,0.8666666666666667
3,4,-0.036669102807839714,0.03683006227899792,60,bridge,0.5333333333333333
3,5,-0.014302405615647634,0.026418758927656025,60,neutral,0.7666666666666667
3,6,-0.022423607028192946,0.03369685588896122,60,neutral,0.6666666666666666
3,7,-0.03237094047996733,0.036402976765819904,60,neutral,0.5333333333333333
3,8,-0.0008621593316396077,0.006678257466435037,60,neutral,0.9833333333333333
3,9,-0.020718089597565787,0.029959820426432148,60,neutral,0.6666666666666666
3,10,-0.02533371779653761,0.034530805935634755,60,neutral,0.6333333333333333
3,11,-0.018722143272558847,0.030429860699644547,60,neutral,0.7166666666666667
3,12,-0.022348217997286052,0.032621882020238135,60,neutral,0.6666666666666666
3,13,-0.0071864042679468795,0.022153977867998813,60,neutral,0.9
3,14,-0.011911629495166599,0.02777369650221172,60,neutral,0.8333333333333334
3,15,-0.026341081062952677,0.03280927945448069,60,neutral,0.5833333333333334
3,16,-0.006738533576329549,0.02058888756216156,60,neutral,0.9
3,17,-0.0018457313378651937,0.010029075118108136,60,neutral,0.9666666666666667
3,18,0.0,0.0,60,neutral,1.0
3,19,-0.000874104102452596,0.006770781263300973,60,neutral,0.9833333333333333
3,20,-0.0008832156658172607,0.006841359129639491,60,neutral,0.9833333333333333
3,21,0.0,0.0,60,neutral,1.0
3,22,0.0,0.0,60,neutral,1.0
3,23,0.0,0.0,60,neutral,1.0
3,24,-0.015233051280180614,0.027312270014141056,60,neutral,0.75
3,25,-0.002842386563618978,0.01254360189009885,60,neutral,0.95
3,26,-0.02151964290274514,0.029893423726824228,60,neutral,0.65
3,27,-0.025535061375962363,0.030887768549212245,60,neutral,0.5833333333333334
3,28,-0.00943034291267395,0.021386710760860718,60,neutral,0.8333333333333334
3,29,-0.0027233014504114785,0.011983092427797623,60,neutral,0.95
3,30,-0.0079197496175766,0.020553221725948402,60,neutral,0.8666666666666667
3,31,-0.00929028656747606,0.022780189668695532,60,neutral,0.85
4,0,-0.003833569089571635,0.014510895297403445,60,neutral,0.9333333333333333
4,1,-0.0011044134696324666,0.008554749950427386,60,neutral,0.9833333333333333
4,2,-0.0021172513564427695,0.011524329185811342,60,neutral,0.9666666666666667
4,3,-0.004621075590451559,0.015493530215157206,60,neutral,0.9166666666666666
4,4,-0.013154774904251099,0.027036193089259117,60,neutral,0.8
4,5,0.0,0.0,60,neutral,1.0
4,6,-0.019378929668002656,0.02799375737759326,60,neutral,0.6666666666666666
4,7,-0.011104098459084829,0.025635333607747494,60,neutral,0.8333333333333334
4,8,-0.0011832227309544882,0.009165203863681581,60,neutral,0.9833333333333333
4,9,-0.0018811255693435669,0.010218791330858392,60,neutral,0.9666666666666667
4,10,0.0,0.0,60,neutral,1.0
4,11,0.0,0.0,60,neutral,1.0
4,12,-0.0008810291687647502,0.0068244225962976815,60,neutral,0.9833333333333333
4,13,-0.013527916702959273,0.02665709580498062,60,neutral,0.7666666666666667
4,14,-0.01653744876384735,0.03120551510151533,60,neutral,0.7666666666666667
4,15,-0.004637800405422846,0.019354775700550185,60,neutral,0.8833333333333333
4,16,-0.000934457282225291,0.007238274983601592,60,neutral,0.9833333333333333
4,17,-0.006490635375181834,0.020340818226196204,60,neutral,0.9
4,18,-0.02037749389807383,0.03547345209064236,60,neutral,0.6166666666666667
4,19,-0.01822556977470716,0.027488115207155227,60,neutral,0.6833333333333333
4,20,-0.0017798612515131631,0.009684889920819548,60,neutral,0.9666666666666667
4,21,-0.0008482793966929118,0.006570743952645045,60,neutral,0.9833333333333333
4,22,-0.000907742977142334,0.007031346866217999,60,neutral,0.9833333333333333
4,23,-0.003728191057840983,0.014121225326316047,60,neutral,0.9333333333333333
4,24,-0.0031360705693562825,0.01390872599231661,60,neutral,0.95
4,25,-0.027780266462100876,0.032812799148346394,60,neutral,0.5666666666666667
4,26,0.0,0.0,60,neutral,1.0
4,27,-0.01148189385732015,0.024620334296973807,60,neutral,0.8166666666666667
4,28,-0.005241682132085164,0.017811490700493482,60,neutral,0.9166666666666666
4,29,-0.006657985349496205,0.018544237313902544,60,neutral,0.8833333333333333
4,30,-0.018060331957207788,0.03051100718329315,60,neutral,0.7333333333333333
4,31,-0.02197225077284707,0.03204809978748784,60,neutral,0.6666666666666666
5,0,-0.03294490976702599,0.034666860058498866,60,bridge,0.5166666666666667
5,1,-0.02277026902588587,0.030780371728949558,60,neutral,0.6333333333333333
5,2,-0.030979946222570207,0.037318323807345455,60,neutral,0.5666666666666667
5,3,-0.017488024499681263,0.03530929918571264,60,neutral,0.6833333333333333
5,4,-0.06225381795540918,0.03456346052166823,60,bridge,0.8
5,5,-0.03788969278887466,0.03586876033228721,60,bridge,0.55
5,6,-0.04485189529767456,0.03516960672058733,60,bridge,0.6833333333333333
5,7,-0.004975749055544535,0.016743559528175963,60,neutral,0.9166666666666666
5,8,-0.04120298330695828,0.04072272413029067,60,bridge,0.5333333333333333
5,9,-0.036633530744573525,0.04764399097901849,60,bridge,0.5666666666666667
5,10,-0.04014350333936,0.0380314797297414,60,bridge,0.55
5,11,-0.0307118978361505,0.04406067304076045,60,bridge,0.4666666666666667
5,12,-0.03353038455049197,0.03743529247488922,60,bridge,0.5166666666666667
5,13,-0.013356271882851918,0.029473754206143492,60,neutral,0.7666666666666667
5,14,-0.02562068452437719,0.033867189348710997,60,neutral,0.6166666666666667
5,15,-0.01435661592417293,0.03170521694130618,60,neutral,0.6666666666666666
5,16,-0.0035398165384928387,0.0133652563817651,60,neutral,0.9333333333333333
5,17,-0.004401391247908274,0.02212566185552114,60,neutral,0.8333333333333334
5,18,-0.0028928736845652264,0.012722437917537936,60,neutral,0.95
