layer,head,mean_delta_h1,std_delta_h1,n_prompts,role,stability
0,0,-0.008397114276885987,0.02113724046573403,40,neutral,0.85
0,1,-0.025818765603360678,0.048349219856780826,40,bridge,0.525
0,2,0.0,0.0,40,neutral,1.0
0,3,-0.028766661332476705,0.03487807392103984,40,neutral,0.575
0,4,-0.0009338070948918659,0.018420519798967014,40,neutral,0.925
0,5,-0.0057856723666191105,0.02312901947787994,40,neutral,0.85
0,6,-0.0372399078309536,0.03873900650059275,40,bridge,0.575
0,7,-0.012500123182932536,0.027985291494928143,40,neutral,0.75
0,8,-0.0041455872356891636,0.01481546334085456,40,neutral,0.925
0,9,-0.00296129584312439,0.013224041356930385,40,neutral,0.95
0,10,-0.014456948637962342,0.030781201051625726,40,neutral,0.8
0,11,0.001506158709526062,0.018677549353033278,40,neutral,0.925
0,12,-0.03674737435624455,0.03556904747745449,40,bridge,0.525
0,13,-0.0295456882282382,0.03575896012223591,40,neutral,0.575
0,14,-0.03813688763313823,0.03232957943841701,40,bridge,0.6
0,15,0.0,0.0,40,neutral,1.0
0,16,-0.01893914776543776,0.031797338959263025,40,neutral,0.725
0,17,-0.00872578576207161,0.02397710842779336,40,neutral,0.875
0,18,-0.039276253709953926,0.04119237556627954,40,bridge,0.5
0,19,-0.0014040753245353698,0.008880152063943735,40,neutral,0.975
0,20,-0.0012860506772994994,0.00813369865333724,40,neutral,0.975
0,21,-0.0016158252954483032,0.015251253496001196,40,neutral,0.925
0,22,0.0,0.0,40,neutral,1.0
0,23,-0.006349520447353521,0.04527795946149527,40,neutral,0.575
0,24,-0.014834701766570407,0.04745358192997521,40,neutral,0.525
0,25,-0.0015290305018424988,0.01507524552796899,40,neutral,0.925
0,26,0.0,0.0,40,neutral,1.0
0,27,-0.009064998477697372,0.022005613715413774,40,neutral,0.85
0,28,-0.03669470244929904,0.034773191608447065,40,bridge,0.55
0,29,-0.055368829136376294,0.050266597076335566,40,bridge,0.6
0,30,-0.0330488524627892,0.036150162379742716,40,neutral,0.525
0,31,-0.04491853651901086,0.04292266926265497,40,bridge,0.55
1,0,-0.01064136375983556,0.023945453280866433,40,neutral,0.825
1,1,-0.006419669091701508,0.019647256625484298,40,neutral,0.9
1,2,0.0,0.0,40,neutral,1.0
1,3,-0.02575220415989558,0.031100474470084894,40,neutral,0.575
1,4,-0.015922705829143523,0.02896940328453248,40,neutral,0.75
1,5,-0.005246517062187195,0.019027454764919613,40,neutral,0.925
1,6,-0.030095086296399433,0.03288830706882619,40,neutral,0.525
1,7,-0.019531071186065674,0.034653747695661034,40,neutral,0.65
1,8,0.0,0.0,40,neutral,1.0
