prompt_id,category,layer,head,delta_h1,role
rep_001,repetition,0,0,0.0,neutral
rep_001,repetition,0,1,0.0,neutral
rep_001,repetition,0,2,0.0,neutral
rep_001,repetition,0,3,-0.06728774309158325,bridge
rep_001,repetition,0,4,0.0,neutral
rep_001,repetition,0,5,0.0,neutral
rep_001,repetition,0,6,0.0,neutral
rep_001,repetition,0,7,0.0,neutral
rep_001,repetition,0,8,0.0,neutral
rep_001,repetition,0,9,0.0,neutral
rep_001,repetition,0,10,0.085479736328125,cone
rep_001,repetition,0,11,0.0,neutral
rep_001,repetition,0,12,0.0,neutral
rep_001,repetition,0,13,0.0,neutral
rep_001,repetition,0,14,0.0,neutral
rep_001,repetition,0,15,0.0,neutral
rep_001,repetition,0,16,0.0,neutral
rep_001,repetition,0,17,0.0,neutral
rep_001,repetition,0,18,0.0,neutral
rep_001,repetition,0,19,0.0,neutral
rep_001,repetition,0,20,0.0,neutral
rep_001,repetition,0,21,-0.06686460971832275,bridge
rep_001,repetition,0,22,0.0,neutral
rep_001,repetition,0,23,0.0,neutral
rep_001,repetition,0,24,0.0,neutral
rep_001,repetition,0,25,0.0,neutral
rep_001,repetition,0,26,0.0,neutral
rep_001,repetition,0,27,0.0,neutral
rep_001,repetition,0,28,0.0,neutral
rep_001,repetition,0,29,0.09208170572916667,cone
rep_001,repetition,0,30,0.0,neutral
rep_001,repetition,0,31,0.0,neutral
rep_001,repetition,1,0,0.0,neutral
rep_001,repetition,1,1,0.0,neutral
rep_001,repetition,1,2,-0.09616295993328094,bridge
rep_001,repetition,1,3,0.0,neutral
rep_001,repetition,1,4,0.0,neutral
rep_001,repetition,1,5,0.0,neutral
rep_001,repetition,1,6,0.0,neutral
rep_001,repetition,1,7,-0.050170302391052246,bridge
rep_001,repetition,1,8,0.101318359375,cone
rep_001,repetition,1,9,0.0,neutral
rep_001,repetition,1,10,-0.06150808930397034,bridge
rep_001,repetition,1,11,0.0,neutral
