layer,head,mean_delta_h1,std_delta_h1,n_prompts,role,stability
0,0,-0.004261325796445211,0.01533245176994065,40,neutral,0.925
0,1,-0.005909197777509689,0.01815585759430939,40,neutral,0.9
0,2,-0.028436731277750087,0.03813563886847097,40,neutral,0.5
0,3,-0.04293845566610495,0.03428514617448486,40,bridge,0.725
0,4,0.0,0.0,40,neutral,1.0
0,5,0.0,0.0,40,neutral,1.0
0,6,0.0,0.0,40,neutral,1.0
0,7,0.0,0.0,40,neutral,1.0
0,8,0.0,0.0,40,neutral,1.0
0,9,0.0,0.0,40,neutral,1.0
0,10,0.07828711191813151,0.014137792391905287,40,cone,1.0
0,11,0.03637288411458333,0.03764703801731496,40,cone,0.525
0,12,0.0,0.0,40,neutral,1.0
0,13,-0.012437163293361664,0.025428134684977347,40,neutral,0.8
0,14,0.003759765625,0.017327044066421934,40,neutral,0.95
0,15,0.0,0.0,40,neutral,1.0
0,16,0.00467529296875,0.01666877225877834,40,neutral,0.925
0,17,0.0,0.0,40,neutral,1.0
0,18,0.0,0.0,40,neutral,1.0
0,19,0.0,0.0,40,neutral,1.0
0,20,-0.004844051164885362,0.021448523568761386,40,neutral,0.95
0,21,-0.013096128404140473,0.024749063197068478,40,neutral,0.775
0,22,0.0,0.0,40,neutral,1.0
0,23,-0.012673029551903406,0.03098359402880272,40,neutral,0.85
0,24,-0.011483605951070786,0.025684641704259048,40,neutral,0.825
0,25,0.0,0.0,40,neutral,1.0
0,26,0.001247960329055786,0.019432682881160148,40,neutral,0.875
0,27,0.0,0.0,40,neutral,1.0
0,28,0.0,0.0,40,neutral,1.0
0,29,0.08408212570917038,0.029975360386682925,40,cone,0.95
0,30,-0.0055115316808223725,0.021926820505289237,40,neutral,0.85
0,31,-0.0024072853972514473,0.008350990211824035,40,neutral,0.975
1,0,0.00961180254817009,0.03424998064831569,40,neutral,0.775
1,1,-0.0015754610300064086,0.009964090439310264,40,neutral,0.975
1,2,-0.0856531881035666,0.009558991041030121,40,bridge,1.0
1,3,0.001922607421875,0.01215963699893847,40,neutral,0.975
1,4,-0.002831295132637024,0.012583811176452213,40,neutral,0.95
1,5,0.0,0.0,40,neutral,1.0
1,6,0.0,0.0,40,neutral,1.0
1,7,-0.01497422531247139,0.024697783759882738,40,neutral,0.725
1,8,-0.018329642588893573,0.047678326253814844,40,neutral,0.575
1,9,-0.00844285562634468,0.02048272727018472,40,neutral,0.85
1,10,-0.060439442907060895,0.032923017425649646,40,bridge,0.8
1,11,0.0,0.0,40,neutral,1.0
1,12,-0.017166400994691584,0.03798901655279918,40,neutral,0.55
1,13,-0.03231533256669839,0.045103439172268334,40,bridge,0.475
1,14,-0.019002768397331237,0.028523928685198117,40,neutral,0.675
1,15,-0.0012624889612197876,0.007984681276549036,40,neutral,0.975
1,16,-0.0018503437439600628,0.011702601370314451,40,neutral,0.975
1,17,0.00037558525800704954,0.019003649296187426,40,neutral,0.9
1,18,0.00264892578125,0.016753277642981894,40,neutral,0.975
1,19,-0.019758858531713486,0.027431209371055948,40,neutral,0.65
1,20,-0.0028016358613967896,0.02901369335815434,40,neutral,0.85
1,21,-0.023511420860886572,0.033781744786168945,40,neutral,0.65
1,22,0.0008269578218460083,0.017091384379336046,40,neutral,0.95
1,23,-0.03894440221289794,0.041740483528570634,40,bridge,0.675
1,24,0.0,0.0,40,neutral,1.0
1,25,0.0,0.0,40,neutral,1.0
1,26,-0.003578950464725494,0.022495849611973068,40,neutral,0.9
1,27,-0.0044886723160743715,0.019829777458890047,40,neutral,0.875
1,28,0.0,0.0,40,neutral,1.0
1,29,-0.0020319662988185884,0.012851283265938093,40,neutral,0.975
1,30,-0.004412375390529633,0.015779162854823028,40,neutral,0.925
1,31,-0.048228172264283616,0.03770320199502398,40,bridge,0.65
2,0,-0.04553252116377864,0.031223441351829948,40,bridge,0.7
2,1,-0.017794154832760492,0.04468022942299395,40,neutral,0.575
2,2,-0.01507488712668419,0.0266646109526088,40,neutral,0.75
2,3,-0.011973564326763154,0.024398102994753076,40,neutral,0.8
2,4,-0.004761793712774912,0.017390316401999527,40,neutral,0.925
2,5,-0.009139971435070037,0.026345425578227773,40,neutral,0.875
2,6,0.0,0.0,40,neutral,1.0
2,7,-0.01754390647013982,0.030322167964098402,40,neutral,0.725
2,8,-0.01278126761317253,0.026245239848709113,40,neutral,0.8
2,9,-0.03457074364026387,0.03991346542410285,40,bridge,0.525
2,10,-0.040309890864623915,0.038158005407089954,40,bridge,0.65
2,11,-0.023939811189969382,0.03654488071906422,40,neutral,0.675
2,12,0.0,0.0,40,neutral,1.0
2,13,-0.0013116493821144104,0.008295599078068115,40,neutral,0.975
2,14,-0.00836273580789566,0.02021142884003043,40,neutral,0.85
2,15,-0.0012956127524375916,0.008194174526525322,40,neutral,0.975
2,16,-0.0053909093141555784,0.016409868203634388,40,neutral,0.9
2,17,-0.002653762698173523,0.011715013975442954,40,neutral,0.95
2,18,0.0,0.0,40,neutral,1.0
2,19,-0.007848010957241058,0.025237323522111388,40,neutral,0.9
2,20,-0.05973630495369434,0.025298332605168644,40,bridge,0.875
2,21,-0.04572261672821783,0.04136709173681173,40,bridge,0.675
2,22,-0.05012363330239341,0.03483231951281725,40,bridge,0.725
2,23,-0.06203441108266512,0.0315208688328155,40,bridge,0.85
2,24,-0.01646255205074946,0.029587619342430767,40,neutral,0.75
2,25,-0.022810115913550057,0.03206180126269093,40,neutral,0.65
2,26,-0.02498522847890854,0.03331805914065174,40,neutral,0.625
2,27,-0.009598249942064286,0.023466290621961802,40,neutral,0.85
2,28,-0.006799174845218659,0.021600294803228167,40,neutral,0.9
2,29,-0.013456282764673233,0.025837180854396832,40,neutral,0.775
2,30,-0.014901740849018097,0.028337354027674986,40,neutral,0.775
2,31,-0.03052729095021884,0.036886322859032115,40,neutral,0.55
3,0,0.0,0.0,40,neutral,1.0
3,1,0.0,0.0,40,neutral,1.0
3,2,0.0,0.0,40,neutral,1.0
3,3,-0.008405035237471263,0.02035631615063064,40,neutral,0.85
3,4,-0.013033228367567063,0.02474146008114565,40,neutral,0.775
3,5,-0.028535476078589757,0.037244573827581014,40,neutral,0.6
3,6,-0.017764346301555635,0.03716547308884963,40,neutral,0.675
3,7,-0.02598899006843567,0.031134460537889895,40,neutral,0.575
3,8,-0.017859722673892974,0.029982911885565955,40,neutral,0.725
3,9,-0.0060922175645828245,0.01893326859294408,40,neutral,0.9
3,10,0.00024397820234298707,0.017476990475784347,40,neutral,0.95
3,11,-0.016058330486218134,0.03444958778504709,40,neutral,0.725
3,12,-0.0073213323950767515,0.02621003068649745,40,neutral,0.925
3,13,-0.05835988077970724,0.024571538988607974,40,bridge,0.875
3,14,-0.007187562435865403,0.0219642274494784,40,neutral,0.9
3,15,-0.019877675473690033,0.0337556214807121,40,neutral,0.725
3,16,-0.0030222535133361816,0.013342567136036697,40,neutral,0.95
3,17,-0.014001018305619558,0.02672554970161773,40,neutral,0.775
3,18,-0.004248181730508805,0.015169184930477187,40,neutral,0.925
3,19,-0.005346266925334931,0.01624972134180223,40,neutral,0.9
3,20,0.0,0.0,40,neutral,1.0
3,21,-0.011968738585710525,0.022548981503362094,40,neutral,0.775
3,22,-0.001587037742137909,0.01003730799561355,40,neutral,0.975
3,23,0.0,0.0,40,neutral,1.0
3,24,-0.028295809278885524,0.04254663885694713,40,neutral,0.65
3,25,-0.016440561413764952,0.02954960891820825,40,neutral,0.75
3,26,-0.05291047513675995,0.026611132285868422,40,bridge,0.825
3,27,-0.018995706737041474,0.029739348327038746,40,neutral,0.7
3,28,-0.0433715450266997,0.03535624204996105,40,bridge,0.65
3,29,-0.015791187435388564,0.028459256664585608,40,neutral,0.75
3,30,-0.007575466980536778,0.020663864956173623,40,neutral,0.875
3,31,-0.021649501721064248,0.03461301395910004,40,neutral,0.7
4,0,-0.005983514338731765,0.018277629256873682,40,neutral,0.9
4,1,-0.008059608936309814,0.0258698453242399,40,neutral,0.825
4,2,0.0,0.0,40,neutral,1.0
4,3,-0.007218500226736068,0.019556376640482327,40,neutral,0.875
4,4,-0.012393807371457417,0.03385113724676662,40,neutral,0.7
4,5,-0.017523956298828126,0.02742214711446797,40,neutral,0.7
4,6,-0.026149016867081327,0.033021705948450275,40,neutral,0.6
4,7,-0.012985815852880478,0.02470440685109401,40,neutral,0.775
4,8,0.0,0.0,40,neutral,1.0
4,9,-0.0071230724453926085,0.021735854995775176,40,neutral,0.9
4,10,-0.00126350075006485,0.00799108039107213,40,neutral,0.975
4,11,-0.018421051651239397,0.028736341593921896,40,neutral,0.7
4,12,-0.02228912345710255,0.04289784486562593,40,neutral,0.55
4,13,-0.001274283230304718,0.008059274783839616,40,neutral,0.975
4,14,-0.03666904004911582,0.03350879715830898,40,bridge,0.575
4,15,-0.03034487011531989,0.03281331181589838,40,neutral,0.525
4,16,-0.00915413796901703,0.022229185803743192,40,neutral,0.85
4,17,-0.02137822781999906,0.033124708609200325,40,neutral,0.675
4,18,-0.007653649151325226,0.02080123055108983,40,neutral,0.875
4,19,-0.0026261597871780396,0.01160596038887661,40,neutral,0.95
