step,split,task_loss,reg_loss,topo_drift,condition
0,train,1.1036369800567627,1.5835679769515991,6.097520004267905,frob_reg
1,train,0.7076343297958374,2.3989555835723877,5.822760799942863,frob_reg
2,train,1.4878085851669312,1.3190481662750244,6.160231414254868,frob_reg
3,train,1.084225058555603,1.676426649093628,6.080860085014636,frob_reg
4,train,1.6151351928710938,1.4638867378234863,6.015227800188269,frob_reg
5,train,1.6590126752853394,1.088236927986145,6.185811383603134,frob_reg
6,train,1.0046321153640747,1.3229737281799316,6.114221342180387,frob_reg
7,train,1.5489120483398438,1.2217117547988892,6.128196324144516,frob_reg
8,train,1.2945204973220825,1.4407598972320557,5.982664306593689,frob_reg
9,train,1.4036307334899902,1.3126449584960938,6.173039685693513,frob_reg
10,train,3.98101806640625,0.8273313045501709,6.196168536192071,frob_reg
11,train,3.8268027305603027,0.7786798477172852,6.191906971643045,frob_reg
12,train,3.8330893516540527,0.8608241677284241,6.2078612230628885,frob_reg
13,train,3.6200127601623535,0.89780592918396,6.2060920531798605,frob_reg
14,train,3.4794013500213623,0.9203064441680908,6.201554222169645,frob_reg
15,train,4.421880722045898,0.7827311158180237,6.198791656723823,frob_reg
16,train,3.9642088413238525,0.9362387657165527,6.170921934105296,frob_reg
17,train,4.148228645324707,0.776110053062439,6.203293075827738,frob_reg
18,train,4.265501976013184,0.8121703863143921,6.1915728820655,frob_reg
19,train,3.337339162826538,0.9177718162536621,6.211698182745569,frob_reg
19,val,2.191324543952942,0.0,6.141865033393346,frob_reg
20,train,2.1804628372192383,1.0472134351730347,6.162389772579303,frob_reg
21,train,0.9914664030075073,2.0336482524871826,6.120225312173308,frob_reg
22,train,2.360377073287964,1.2403804063796997,6.1651227932512525,frob_reg
23,train,1.2922227382659912,2.6140339374542236,6.0895366130501785,frob_reg
24,train,1.5917073488235474,1.6130346059799194,6.163930097153941,frob_reg
25,train,1.498753309249878,1.4036719799041748,6.185192204642045,frob_reg
26,train,0.9452141523361206,2.181206226348877,6.080958238436947,frob_reg
27,train,1.566282868385315,1.9258438348770142,6.1869080014632,frob_reg
28,train,1.9224722385406494,1.2362878322601318,6.157859801049038,frob_reg
29,train,0.9786675572395325,1.9522547721862793,6.1903835413839685,frob_reg
30,train,2.447852373123169,1.682405948638916,6.159269626359038,frob_reg
31,train,1.5966533422470093,2.40321946144104,6.12266751225655,frob_reg
32,train,2.2080249786376953,1.0087532997131348,6.133187719638804,frob_reg
33,train,2.635111093521118,0.9868400692939758,6.168421570087595,frob_reg
34,train,2.2535436153411865,1.3693863153457642,6.1468951672851855,frob_reg
35,train,2.5544607639312744,1.4523577690124512,6.100947888811465,frob_reg
36,train,2.2183945178985596,2.413846015930176,6.1484259689866105,frob_reg
37,train,3.2984237670898438,0.8776491284370422,6.153064679273474,frob_reg
38,train,3.019103765487671,0.9552353024482727,6.161508820474177,frob_reg
39,train,2.817322254180908,1.4804491996765137,6.16098593256247,frob_reg
39,val,1.9076904147863387,0.0,6.16147879704084,frob_reg
40,train,0.595922589302063,0.9813110828399658,6.147500285911546,frob_reg
41,train,0.39429712295532227,2.01713490486145,5.9931269600166175,frob_reg
42,train,0.8938180208206177,0.877705454826355,6.15057774213797,frob_reg
43,train,0.664927065372467,1.1031572818756104,6.092276489766182,frob_reg
44,train,0.785616397857666,0.8898677825927734,6.091634558984962,frob_reg
45,train,1.018439531326294,0.7750577926635742,6.1943656241088,frob_reg
46,train,0.7736716270446777,0.9293858408927917,6.136155826079438,frob_reg
47,train,0.9316450953483582,0.7867240309715271,6.148773368978717,frob_reg
48,train,0.7185937762260437,0.9568735361099243,6.042454936328961,frob_reg
49,train,0.9146621227264404,0.8909791111946106,6.173723477091737,frob_reg
50,train,3.082552909851074,0.7404761910438538,6.188469659295534,frob_reg
51,train,2.290351390838623,0.6963165998458862,6.20094567129303,frob_reg
52,train,2.707533359527588,0.7747963666915894,6.221395385123876,frob_reg
53,train,2.9650659561157227,0.7764622569084167,6.21157740822662,frob_reg
54,train,2.6017186641693115,0.8032291531562805,6.198158743154284,frob_reg
55,train,3.058486223220825,0.7224553227424622,6.209492020506869,frob_reg
56,train,2.901209831237793,0.7788822650909424,6.199450637980112,frob_reg
57,train,2.8736321926116943,0.7224230766296387,6.208483799775787,frob_reg
58,train,3.288029670715332,0.7628980278968811,6.196722661164859,frob_reg
59,train,2.064208745956421,0.8167264461517334,6.20017292774003,frob_reg
59,val,1.452772742509842,0.0,6.161641465065317,frob_reg
60,train,1.5914061069488525,0.7870326042175293,6.162373346460005,frob_reg
61,train,0.7354332804679871,1.9244474172592163,6.158262109499237,frob_reg
62,train,1.907560110092163,1.172776460647583,6.200125242907418,frob_reg
63,train,0.8118464350700378,2.5035319328308105,6.127191465325926,frob_reg
64,train,1.1095222234725952,1.5501009225845337,6.185436833055896,frob_reg
65,train,0.9478414058685303,1.3219687938690186,6.2127166851091635,frob_reg
66,train,0.723393976688385,2.0805680751800537,6.129792945505673,frob_reg
67,train,1.1195906400680542,1.8407126665115356,6.215656172648258,frob_reg
68,train,1.4172370433807373,1.177918791770935,6.170003498874732,frob_reg
69,train,0.6311739683151245,1.8560864925384521,6.210988780278504,frob_reg
70,train,1.7888026237487793,1.5938663482666016,6.190143993430261,frob_reg
71,train,1.0290677547454834,2.338613748550415,6.1488812630276035,frob_reg
72,train,1.5200647115707397,0.9359418153762817,6.162227678316372,frob_reg
73,train,1.858399748802185,0.9310492277145386,6.197501782263117,frob_reg
74,train,1.5244532823562622,1.2992360591888428,6.1706603834561236,frob_reg
75,train,1.8375017642974854,1.3935601711273193,6.161007434670818,frob_reg
76,train,1.6379930973052979,2.3207736015319824,6.156777169234955,frob_reg
77,train,2.3066725730895996,0.8249868750572205,6.183090214182355,frob_reg
78,train,2.002358913421631,0.893231213092804,6.1912357030294265,frob_reg
79,train,2.0849411487579346,1.3923251628875732,6.1938102067896095,frob_reg
79,val,1.2729765132069588,0.0,6.171102863208489,frob_reg
80,train,0.49353447556495667,0.9132643342018127,6.1286687504725,frob_reg
81,train,0.3249049186706543,1.9678970575332642,5.988216404618656,frob_reg
82,train,0.7047664523124695,0.730363130569458,6.175852476896102,frob_reg
83,train,0.46249738335609436,0.8848480582237244,6.122886327912322,frob_reg
84,train,0.5703071355819702,0.7267094850540161,6.1269477311798175,frob_reg
85,train,0.8701317310333252,0.6702319383621216,6.190954171580916,frob_reg
86,train,0.6065247654914856,0.85745769739151,6.170203319449268,frob_reg
87,train,0.5939947366714478,0.692034125328064,6.1602604231715645,frob_reg
