prompt_id,category,layer,head,delta_h1,role
rep_001,repetition,0,0,0.0,neutral
rep_001,repetition,0,1,0.0,neutral
rep_001,repetition,0,2,0.0,neutral
rep_001,repetition,0,3,0.0,neutral
rep_001,repetition,0,4,0.0,neutral
rep_001,repetition,0,5,0.0,neutral
rep_001,repetition,0,6,0.0,neutral
rep_001,repetition,0,7,0.0,neutral
rep_001,repetition,0,8,0.0,neutral
rep_001,repetition,0,9,0.0,neutral
rep_001,repetition,0,10,0.0,neutral
rep_001,repetition,0,11,0.0,neutral
rep_001,repetition,0,12,0.0,neutral
rep_001,repetition,0,13,0.0,neutral
rep_001,repetition,0,14,0.0,neutral
rep_001,repetition,0,15,0.0,neutral
rep_001,repetition,0,16,0.0,neutral
rep_001,repetition,0,17,0.0,neutral
rep_001,repetition,0,18,0.0,neutral
rep_001,repetition,0,19,0.0,neutral
rep_001,repetition,0,20,0.0,neutral
rep_001,repetition,0,21,-0.06038534641265869,bridge
rep_001,repetition,0,22,0.0,neutral
rep_001,repetition,0,23,0.0,neutral
rep_001,repetition,1,0,0.0,neutral
rep_001,repetition,1,1,0.0,neutral
rep_001,repetition,1,2,0.0,neutral
rep_001,repetition,1,3,-0.009933420589991984,neutral
rep_001,repetition,1,4,0.0,neutral
rep_001,repetition,1,5,0.0,neutral
rep_001,repetition,1,6,0.0,neutral
rep_001,repetition,1,7,0.0,neutral
rep_001,repetition,1,8,0.0,neutral
rep_001,repetition,1,9,0.0,neutral
rep_001,repetition,1,10,0.0,neutral
rep_001,repetition,1,11,0.0,neutral
rep_001,repetition,1,12,0.085205078125,cone
rep_001,repetition,1,13,0.0,neutral
rep_001,repetition,1,14,0.0,neutral
rep_001,repetition,1,15,0.0,neutral
rep_001,repetition,1,16,0.0,neutral
rep_001,repetition,1,17,-0.031223833560943604,bridge
rep_001,repetition,1,18,0.0,neutral
rep_001,repetition,1,19,0.0,neutral
rep_001,repetition,1,20,0.0,neutral
