prompt_id,category,layer,head,delta_h1,role
rep_001,repetition,0,0,0.0,neutral
rep_001,repetition,0,1,0.0,neutral
rep_001,repetition,0,2,-0.050036847591400146,bridge
rep_001,repetition,0,3,0.0,neutral
rep_001,repetition,0,4,-0.06564384698867798,bridge
rep_001,repetition,0,5,0.0,neutral
rep_001,repetition,0,6,0.0,neutral
rep_001,repetition,0,7,0.0,neutral
rep_001,repetition,0,8,0.0,neutral
rep_001,repetition,0,9,0.0,neutral
rep_001,repetition,0,10,0.0,neutral
rep_001,repetition,0,11,0.020626544952392578,neutral
rep_001,repetition,0,12,0.0,neutral
rep_001,repetition,0,13,0.0,neutral
rep_001,repetition,0,14,0.0,neutral
rep_001,repetition,0,15,0.0,neutral
rep_001,repetition,0,16,0.0567626953125,cone
rep_001,repetition,0,17,0.09261067708333333,cone
rep_001,repetition,0,18,-0.0007821023464202881,neutral
rep_001,repetition,0,19,0.0948486328125,cone
rep_001,repetition,0,20,0.0,neutral
rep_001,repetition,0,21,0.0,neutral
rep_001,repetition,0,22,-0.05100739002227783,bridge
rep_001,repetition,0,23,-0.00613740086555481,neutral
rep_001,repetition,0,24,-0.05814772844314575,bridge
rep_001,repetition,0,25,-0.052903056144714355,bridge
rep_001,repetition,0,26,0.0,neutral
rep_001,repetition,0,27,-0.0908132791519165,bridge
rep_001,repetition,1,0,0.0,neutral
rep_001,repetition,1,1,0.0,neutral
rep_001,repetition,1,2,0.0,neutral
rep_001,repetition,1,3,0.0,neutral
rep_001,repetition,1,4,0.0,neutral
rep_001,repetition,1,5,0.0,neutral
rep_001,repetition,1,6,0.0,neutral
rep_001,repetition,1,7,0.0,neutral
rep_001,repetition,1,8,0.0,neutral
rep_001,repetition,1,9,-0.05573436617851257,bridge
rep_001,repetition,1,10,0.0,neutral
rep_001,repetition,1,11,0.072021484375,cone
rep_001,repetition,1,12,0.0,neutral
rep_001,repetition,1,13,0.0,neutral
rep_001,repetition,1,14,0.0,neutral
