step,split,task_loss,reg_loss,topo_drift,condition
0,train,1.2781316041946411,3.4569497108459473,3.0345411282062726,frob_reg
1,train,0.8447278141975403,4.237407684326172,2.9939016010145316,frob_reg
2,train,1.7445062398910522,2.8433873653411865,3.2247014039270816,frob_reg
3,train,0.9727499485015869,3.7179219722747803,3.2247014039270816,frob_reg
4,train,1.6668002605438232,3.5269267559051514,3.1178326049440033,frob_reg
5,train,1.8492337465286255,2.602689266204834,3.2247014039270816,frob_reg
6,train,1.185366153717041,3.482804775238037,3.2247014039270816,frob_reg
7,train,2.046870470046997,3.3582534790039062,3.034729307410723,frob_reg
8,train,1.3917090892791748,3.2850918769836426,3.2247014039270816,frob_reg
9,train,1.3277883529663086,3.011594533920288,3.2247014039270816,frob_reg
10,train,3.999403953552246,3.211165428161621,3.053781004102689,frob_reg
11,train,3.902052164077759,2.822246551513672,3.139899174593575,frob_reg
12,train,2.5588886737823486,2.2353644371032715,3.2247014039270816,frob_reg
13,train,3.9292171001434326,3.311000108718872,3.084703372706082,frob_reg
14,train,3.1599440574645996,2.7945079803466797,3.2247014039270816,frob_reg
15,train,4.825298309326172,2.7436649799346924,3.0968643113291465,frob_reg
16,train,3.9709620475769043,2.6777279376983643,3.2247014039270816,frob_reg
17,train,3.997299909591675,2.4151744842529297,3.2247014039270816,frob_reg
18,train,5.052340030670166,3.0122053623199463,3.015940881239449,frob_reg
19,train,3.494046211242676,2.9740099906921387,3.2247014039270816,frob_reg
19,val,2.5795693337917327,0.0,3.141572082225957,frob_reg
20,train,2.727023124694824,3.181339740753174,3.1228584742257866,frob_reg
21,train,1.4503229856491089,3.6698057651519775,3.2247014039270816,frob_reg
22,train,2.4922776222229004,3.3352291584014893,3.2247014039270816,frob_reg
23,train,1.2249716520309448,4.594164848327637,2.8846305327995845,frob_reg
24,train,1.8345762491226196,3.6490869522094727,3.2247014039270816,frob_reg
25,train,1.6163901090621948,3.7331948280334473,3.006474508226975,frob_reg
26,train,0.875497043132782,3.9772982597351074,3.2247014039270816,frob_reg
27,train,1.5027625560760498,3.8514976501464844,3.2247014039270816,frob_reg
28,train,2.222090721130371,3.581367015838623,2.8772301960175906,frob_reg
29,train,1.1112078428268433,3.752333402633667,3.2247014039270816,frob_reg
30,train,2.4766910076141357,3.7584915161132812,3.2247014039270816,frob_reg
31,train,2.385607957839966,4.0112786293029785,2.8440522299157225,frob_reg
32,train,2.2925608158111572,3.1266918182373047,3.2247014039270816,frob_reg
33,train,2.7248287200927734,3.4553916454315186,2.9298603227481723,frob_reg
34,train,3.4755706787109375,3.3157010078430176,3.2247014039270816,frob_reg
35,train,3.0918543338775635,3.718658924102783,2.944919930583461,frob_reg
36,train,2.4964213371276855,4.025848388671875,3.2247014039270816,frob_reg
37,train,4.110293388366699,3.3002102375030518,3.007694414734537,frob_reg
38,train,4.996457099914551,3.2637476921081543,3.2247014039270816,frob_reg
39,train,3.6864359378814697,3.5184202194213867,3.019427777086287,frob_reg
39,val,2.4541536778211595,0.0,3.146520691028477,frob_reg
40,train,1.0732216835021973,3.2102200984954834,3.1152948968758167,frob_reg
41,train,0.7027018070220947,3.796370506286621,2.9915656268448867,frob_reg
42,train,1.4656195640563965,2.4648447036743164,3.2247014039270816,frob_reg
43,train,0.7780547738075256,3.291614532470703,3.2247014039270816,frob_reg
44,train,1.331516981124878,3.219398021697998,3.002091708975475,frob_reg
45,train,1.679506540298462,2.2572989463806152,3.2247014039270816,frob_reg
46,train,0.8621590733528137,3.13968563079834,3.2247014039270816,frob_reg
47,train,1.6620824337005615,3.13301944732666,3.1285596985515083,frob_reg
48,train,1.212920904159546,2.834923028945923,3.2247014039270816,frob_reg
49,train,0.9239282011985779,2.6790881156921387,3.2247014039270816,frob_reg
50,train,3.867213249206543,3.0794639587402344,3.089502412854987,frob_reg
51,train,3.414475917816162,2.758942127227783,3.158387071301205,frob_reg
52,train,2.374079465866089,1.9075593948364258,3.2247014039270816,frob_reg
53,train,3.71107816696167,3.108309268951416,3.0499847204512673,frob_reg
54,train,3.044631004333496,2.515167236328125,3.2247014039270816,frob_reg
55,train,4.407123565673828,2.689526081085205,3.141743415398546,frob_reg
56,train,3.886521100997925,2.350334644317627,3.2247014039270816,frob_reg
57,train,3.793118715286255,2.074000597000122,3.2247014039270816,frob_reg
58,train,4.6404595375061035,2.8697521686553955,3.0625404523582387,frob_reg
59,train,3.3141274452209473,2.6429266929626465,3.2247014039270816,frob_reg
59,val,2.252212992310524,0.0,3.1929951324369616,frob_reg
60,train,2.276090383529663,3.0503172874450684,3.174990299625721,frob_reg
61,train,1.234729290008545,3.238269805908203,3.2247014039270816,frob_reg
62,train,2.3352763652801514,3.036485195159912,3.2247014039270816,frob_reg
63,train,1.061843991279602,4.236536979675293,2.789386514300009,frob_reg
64,train,1.6037148237228394,3.307866096496582,3.2247014039270816,frob_reg
65,train,1.41188383102417,3.451847553253174,3.074877383244762,frob_reg
66,train,0.8414620161056519,3.6304893493652344,3.2247014039270816,frob_reg
67,train,1.4356845617294312,3.5410003662109375,3.2247014039270816,frob_reg
68,train,2.062573194503784,3.322671413421631,3.1892913879101177,frob_reg
69,train,0.9191446900367737,3.50600004196167,3.2247014039270816,frob_reg
70,train,2.176687240600586,3.440397024154663,3.2247014039270816,frob_reg
71,train,2.195016622543335,3.6903915405273438,3.1664768980300635,frob_reg
72,train,1.9368301630020142,2.9285006523132324,3.2247014039270816,frob_reg
73,train,2.4141759872436523,3.2912983894348145,3.2243859113844042,frob_reg
74,train,2.753828287124634,3.1607704162597656,3.2247014039270816,frob_reg
75,train,2.825439453125,3.489696979522705,3.1390923737313345,frob_reg
76,train,2.2809247970581055,3.653496265411377,3.2247014039270816,frob_reg
77,train,3.360743284225464,3.1991233825683594,3.1881541662222537,frob_reg
78,train,4.0038533210754395,2.9772963523864746,3.2247014039270816,frob_reg
79,train,3.148996591567993,3.3301730155944824,3.1917412995724854,frob_reg
79,val,2.0826357036828993,0.0,3.2103722757383273,frob_reg
80,train,0.974867582321167,3.285576820373535,3.2247014039270816,frob_reg
81,train,0.6410813331604004,3.7181458473205566,3.2247014039270816,frob_reg
82,train,1.0097846984863281,2.124309539794922,3.2247014039270816,frob_reg
83,train,0.6040843725204468,2.909656047821045,3.2247014039270816,frob_reg
84,train,1.0834070444107056,3.0478203296661377,3.1985379334234088,frob_reg
85,train,1.4027777910232544,1.9472107887268066,3.2247014039270816,frob_reg
86,train,0.6628409624099731,2.742189884185791,3.2053181455247994,frob_reg
87,train,1.1763408184051514,3.1259729862213135,3.2247014039270816,frob_reg
88,train,0.9861519932746887,2.526139736175537,3.2247014039270816,frob_reg
89,train,0.6382742524147034,2.514468193054199,3.2247014039270816,frob_reg
90,train,3.5206267833709717,2.9493823051452637,3.1516442789349455,frob_reg
91,train,2.901909828186035,2.7085061073303223,3.2068571801462387,frob_reg
92,train,1.9754900932312012,1.77559232711792,3.2247014039270816,frob_reg
93,train,3.178419589996338,3.003822088241577,3.1368585260905144,frob_reg
94,train,2.7867422103881836,2.352815628051758,3.2247014039270816,frob_reg
95,train,3.6228344440460205,2.6375880241394043,3.1755331785859786,frob_reg
96,train,3.4833984375,2.187553882598877,3.2247014039270816,frob_reg
97,train,3.227429151535034,2.0191218852996826,3.2247014039270816,frob_reg
98,train,3.9596505165100098,2.7778782844543457,3.168637300815647,frob_reg
99,train,2.767941951751709,2.5305304527282715,3.2247014039270816,frob_reg
99,val,1.893422643840313,0.0,3.206917555296765,frob_reg
100,train,1.9337307214736938,2.9786436557769775,3.198284089105017,frob_reg
101,train,0.9899349212646484,3.0569920539855957,3.2247014039270816,frob_reg
102,train,2.096508741378784,2.9425787925720215,3.2247014039270816,frob_reg
103,train,0.9070780873298645,4.039518356323242,2.9076865916733903,frob_reg
104,train,1.3854931592941284,3.1494412422180176,3.2247014039270816,frob_reg
105,train,1.11400306224823,3.28757905960083,3.1197287275320473,frob_reg
106,train,0.6993778347969055,3.4999170303344727,3.2247014039270816,frob_reg
107,train,1.2419846057891846,3.4148077964782715,3.2247014039270816,frob_reg
108,train,1.8529160022735596,2.750945568084717,3.2247014039270816,frob_reg
109,train,0.7237878441810608,3.376143455505371,3.2247014039270816,frob_reg
110,train,1.936331033706665,3.3181138038635254,3.2247014039270816,frob_reg
111,train,1.8208426237106323,2.791621685028076,3.2048990044124466,frob_reg
112,train,1.5213288068771362,2.8343658447265625,3.2247014039270816,frob_reg
113,train,2.0419018268585205,2.2442333698272705,3.22162900119174,frob_reg
114,train,2.173610210418701,3.0416131019592285,3.2247014039270816,frob_reg
115,train,2.570004940032959,2.455683708190918,3.113631463781121,frob_reg
116,train,2.002657175064087,3.529356002807617,3.2247014039270816,frob_reg
117,train,3.0798351764678955,2.155888080596924,3.166190642372058,frob_reg
118,train,3.417276382446289,2.872239828109741,3.2247014039270816,frob_reg
119,train,2.9809186458587646,2.278977155685425,3.216863007330601,frob_reg
119,val,1.735104149580002,0.0,3.205551931746713,frob_reg
120,train,1.0422592163085938,1.9263226985931396,3.208804780865668,frob_reg
121,train,0.6946973204612732,2.3643364906311035,3.1917341262007524,frob_reg
122,train,0.5802275538444519,2.0089449882507324,3.2247014039270816,frob_reg
123,train,0.4225568473339081,2.7539315223693848,3.2247014039270816,frob_reg
124,train,0.8849128484725952,1.9132606983184814,3.2247014039270816,frob_reg
125,train,1.1427035331726074,1.840728521347046,3.2247014039270816,frob_reg
126,train,0.5637122988700867,2.529231071472168,3.2247014039270816,frob_reg
127,train,0.9101284146308899,1.8969917297363281,3.213419048860062,frob_reg
128,train,0.6954898238182068,2.3736209869384766,3.2058493980086924,frob_reg
129,train,0.4933220148086548,2.38649845123291,3.2247014039270816,frob_reg
130,train,3.171563148498535,1.9646165370941162,3.1502585360678004,frob_reg
131,train,2.4283347129821777,1.6660170555114746,3.2247014039270816,frob_reg
132,train,1.35891592502594,1.7116676568984985,3.2247014039270816,frob_reg
133,train,2.8339245319366455,1.9208085536956787,3.1767921970036364,frob_reg
134,train,2.460221529006958,2.2966370582580566,3.2247014039270816,frob_reg
135,train,2.9839389324188232,1.6483943462371826,3.194415242044946,frob_reg
136,train,3.0580310821533203,2.0976688861846924,3.2247014039270816,frob_reg
137,train,2.431499719619751,2.0239908695220947,3.2247014039270816,frob_reg
138,train,3.606520414352417,1.7064497470855713,3.2247014039270816,frob_reg
139,train,2.135815143585205,2.451345920562744,3.2247014039270816,frob_reg
139,val,1.5677742794156075,0.0,3.217311852481063,frob_reg
140,train,1.8350207805633545,1.9593791961669922,3.2029034186394023,frob_reg
141,train,0.7843108177185059,2.9400062561035156,3.2247014039270816,frob_reg
142,train,1.660514235496521,2.8698081970214844,3.2247014039270816,frob_reg
143,train,0.8210850954055786,3.0345704555511475,2.8906934628052903,frob_reg
144,train,1.0467768907546997,3.061112403869629,3.2247014039270816,frob_reg
145,train,0.9180351495742798,2.2934718132019043,3.1699638553539335,frob_reg
146,train,0.5966373085975647,3.378887414932251,3.2247014039270816,frob_reg
147,train,0.9964975714683533,3.322477340698242,3.2247014039270816,frob_reg
148,train,1.8149129152297974,2.150031805038452,3.2247014039270816,frob_reg
149,train,0.6701188087463379,3.2504005432128906,3.2247014039270816,frob_reg
150,train,1.5987317562103271,3.26450252532959,3.2247014039270816,frob_reg
151,train,1.7075127363204956,2.463686943054199,3.2247014039270816,frob_reg
152,train,0.9902855753898621,2.8136417865753174,3.2247014039270816,frob_reg
153,train,1.6461559534072876,2.0986342430114746,3.2247014039270816,frob_reg
154,train,1.8622709512710571,3.0193352699279785,3.2247014039270816,frob_reg
155,train,2.2560038566589355,2.2706212997436523,3.2044438554051933,frob_reg
156,train,1.6362910270690918,3.428318977355957,3.2247014039270816,frob_reg
157,train,3.04765248298645,2.017104387283325,3.1634507976708823,frob_reg
158,train,2.9681169986724854,2.755134344100952,3.2247014039270816,frob_reg
159,train,2.5412633419036865,2.1674814224243164,3.2247014039270816,frob_reg
159,val,1.4097650244832038,0.0,3.21925101566195,frob_reg
160,train,0.9755991697311401,1.7988200187683105,3.2247014039270816,frob_reg
161,train,0.6446052193641663,2.2036561965942383,3.2247014039270816,frob_reg
162,train,0.43532437086105347,1.8938498497009277,3.2247014039270816,frob_reg
163,train,0.35053128004074097,2.542973041534424,3.2247014039270816,frob_reg
164,train,0.8202196359634399,1.788973331451416,3.1945081101715727,frob_reg
