prompt_id,category,score_normal,score_masked,delta,layer,head,head_label
rep_001,repetition,8.241522494524326e-06,8.672925904537287e-06,4.314034100129614e-07,21,15,L21H15
rep_002,repetition,8.72896685525743e-06,9.030015438501279e-06,3.0104858324384883e-07,21,15,L21H15
rep_003,repetition,0.0008871085622013855,0.001076228467370389,0.0001891199051690034,21,15,L21H15
rep_004,repetition,8.835409430428507e-05,0.00010729779007719063,1.8943695772905556e-05,21,15,L21H15
rep_005,repetition,0.0001341798979643535,0.0001409775638874264,6.797665923072879e-06,21,15,L21H15
rep_006,repetition,0.0001622800804446515,0.00021314672158097197,5.086664113632046e-05,21,15,L21H15
rep_007,repetition,4.892339409430975e-07,5.737002190846336e-07,8.44662781415361e-08,21,15,L21H15
rep_008,repetition,1.514070632424453e-05,1.594388842162299e-05,8.031820973784619e-07,21,15,L21H15
rep_009,repetition,8.472848323134447e-05,0.00010510357085050758,2.0375087619163112e-05,21,15,L21H15
rep_010,repetition,8.311369968723404e-06,1.2121356769099035e-05,3.8099868003756307e-06,21,15,L21H15
rep_001,repetition,8.065625658949077e-05,8.497541676837156e-05,4.31916017888079e-06,15,11,L15H11
rep_002,repetition,8.260486289042422e-05,8.547343300268789e-05,2.868570112263673e-06,15,11,L15H11
rep_003,repetition,0.003744373869595005,0.00582612658396794,0.002081752714372935,15,11,L15H11
rep_004,repetition,0.00027833219714107083,0.0003820642495386568,0.00010373205239758599,15,11,L15H11
rep_005,repetition,0.0032314971102731264,0.003394155511454992,0.0001626584011818655,15,11,L15H11
rep_006,repetition,0.0006368212867434031,0.0010896927551970307,0.00045287146845362765,15,11,L15H11
rep_007,repetition,0.00015512919551149244,0.0002274910483078826,7.236185279639015e-05,15,11,L15H11
rep_008,repetition,5.135465969201098e-05,5.407166423235352e-05,2.7170045403425363e-06,15,11,L15H11
rep_009,repetition,0.006399750819153,0.01104932716672243,0.004649576347569431,15,11,L15H11
rep_010,repetition,2.4938299655245954e-05,4.357566014765508e-05,1.863736049240913e-05,15,11,L15H11
